JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
116.7670156,30.60366922,4
118.9893251,35.40548657,1
119.2860155,35.13672208,2
119.339158,35.17647178,1
119.1934703,35.17300822,2
119.3599022,35.10417597,4
105.9712604,35.34351848,3
119.4686243,35.431049,2
119.4586262,35.43829808,1
119.3866344,35.28446157,3
119.5301142,35.46771125,2
119.3012309,35.39150145,1
118.6240406,33.84566739,5
119.2738349,35.51464975,1
106.9507598,27.70800021,2
115.6115866,38.62736949,2
120.3880917,36.30814232,3
118.895378,35.87753653,1
108.4963313,30.77400589,2
112.9563338,34.92070114,1
118.8435382,35.58587212,10
113.8643611,36.13099864,1
115.4590891,38.53731644,5
118.9721459,35.9918261,2
118.9799089,35.92304007,3
118.7692124,35.77904003,2
119.2163458,35.74590734,1
119.2749927,35.61298018,1
119.3319313,35.86638699,2
119.1056767,35.91554883,1
