JD,WD,value
116.2979565,35.41008808,12
119.5734467,35.57720323,6
116.7670156,30.60366922,13
119.268782,35.29195705,17
118.9893251,35.40548657,6
119.2860155,35.13672208,20
106.7371863,30.28648256,11
119.339158,35.17647178,25
119.1934703,35.17300822,12
119.3599022,35.10417597,36
105.9712604,35.34351848,11
119.4686243,35.431049,14
119.4586262,35.43829808,20
119.5540672,35.3961023,5
119.3866344,35.28446157,16
112.1380499,29.10446695,10
119.5301142,35.46771125,8
119.3012309,35.39150145,5
119.5170405,35.53091754,4
118.6240406,33.84566739,12
119.2738349,35.51464975,5
117.2007828,34.24453607,2
106.9507598,27.70800021,12
115.6115866,38.62736949,1
116.2005516,37.43284291,1
120.3880917,36.30814232,6
118.895378,35.87753653,2
115.6151801,38.90127817,2
106.3741305,31.87138456,1
118.8150764,35.8120243,4
118.8435382,35.58587212,12
113.8643611,36.13099864,3
118.9067767,35.58440415,6
117.1689372,28.2246819,1
118.931584,35.46998243,2
115.4590891,38.53731644,5
118.9460049,35.65733871,1
118.9721459,35.9918261,1
118.9799089,35.92304007,2
119.2155804,35.7556971,36
119.2163458,35.74590734,14
118.9996978,35.80907805,4
119.2749927,35.61298018,14
119.4610803,35.68345171,5
119.3319313,35.86638699,8
119.4246591,35.73670114,1
119.3964308,35.50585644,2
119.1461076,35.65612567,3
119.1056767,35.91554883,2
119.1292477,35.78829172,4
111.9018348,22.4752086,1
