JD,WD,value
119.268782,35.29195705,1
118.9893251,35.40548657,2
119.2860155,35.13672208,1
119.5540672,35.3961023,3
119.3012309,35.39150145,1
118.6240406,33.84566739,2
106.9507598,27.70800021,4
115.6115866,38.62736949,1
116.2005516,37.43284291,1
120.3880917,36.30814232,4
115.6151801,38.90127817,1
106.3741305,31.87138456,1
108.4963313,30.77400589,3
112.9563338,34.92070114,1
118.8435382,35.58587212,5
118.9067767,35.58440415,3
115.4590891,38.53731644,1
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.1292477,35.78829172,1
