JD,WD,value
118.9893251,35.40548657,1
106.7371863,30.28648256,1
119.5540672,35.3961023,1
118.6240406,33.84566739,1
115.6115866,38.62736949,2
118.7800798,35.59681379,2
116.2005516,37.43284291,4
120.3880917,36.30814232,1
118.895378,35.87753653,1
115.6151801,38.90127817,3
106.3741305,31.87138456,1
118.8150764,35.8120243,1
108.4963313,30.77400589,2
112.9563338,34.92070114,2
118.8435382,35.58587212,9
118.8011232,35.52220152,1
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,2
115.4590891,38.53731644,2
118.9460049,35.65733871,1
119.2155804,35.7556971,2
119.2163458,35.74590734,1
119.2749927,35.61298018,1
119.3319313,35.86638699,1
