JD,WD,value
116.2979565,35.41008808,3
119.268782,35.29195705,1
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,3
119.1934703,35.17300822,1
105.9712604,35.34351848,16
119.4686243,35.431049,4
119.4586262,35.43829808,2
119.3866344,35.28446157,1
119.3012309,35.39150145,2
118.6240406,33.84566739,1
106.9507598,27.70800021,2
115.6115866,38.62736949,3
118.7800798,35.59681379,2
116.2005516,37.43284291,4
120.3880917,36.30814232,6
118.895378,35.87753653,1
115.6151801,38.90127817,7
106.3741305,31.87138456,2
118.8150764,35.8120243,2
108.4963313,30.77400589,5
112.9563338,34.92070114,3
118.8435382,35.58587212,16
118.8011232,35.52220152,6
113.8643611,36.13099864,3
118.9067767,35.58440415,10
117.1689372,28.2246819,1
118.931584,35.46998243,2
115.4590891,38.53731644,7
118.9460049,35.65733871,2
118.9721459,35.9918261,2
118.9799089,35.92304007,1
118.7692124,35.77904003,1
119.2155804,35.7556971,11
119.2163458,35.74590734,6
118.9996978,35.80907805,1
119.2749927,35.61298018,3
119.3319313,35.86638699,2
119.4246591,35.73670114,2
119.3964308,35.50585644,1
119.1461076,35.65612567,1
119.1056767,35.91554883,1
119.1292477,35.78829172,1
111.9018348,22.4752086,4
