JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,3
119.268782,35.29195705,2
119.3599022,35.10417597,1
119.5540672,35.3961023,2
119.3866344,35.28446157,1
119.2738349,35.51464975,3
106.9507598,27.70800021,2
118.895378,35.87753653,1
106.3741305,31.87138456,1
108.4963313,30.77400589,1
118.8011232,35.52220152,1
113.8643611,36.13099864,2
115.4590891,38.53731644,1
119.2155804,35.7556971,3
119.2163458,35.74590734,5
118.9996978,35.80907805,1
119.4610803,35.68345171,1
119.3319313,35.86638699,1
