JD,WD,value
116.7670156,30.60366922,1
119.268782,35.29195705,8
118.9893251,35.40548657,3
119.2860155,35.13672208,3
119.339158,35.17647178,5
105.9712604,35.34351848,4
119.4686243,35.431049,2
119.4586262,35.43829808,5
119.5540672,35.3961023,1
112.1380499,29.10446695,3
119.5301142,35.46771125,4
119.3012309,35.39150145,5
118.6240406,33.84566739,4
117.2007828,34.24453607,2
106.9507598,27.70800021,2
115.6115866,38.62736949,4
118.7800798,35.59681379,1
116.2005516,37.43284291,2
120.3880917,36.30814232,9
118.895378,35.87753653,14
115.6151801,38.90127817,4
106.3741305,31.87138456,6
108.4963313,30.77400589,1
118.8435382,35.58587212,20
118.8011232,35.52220152,1
113.8643611,36.13099864,3
118.9067767,35.58440415,5
117.1689372,28.2246819,2
118.931584,35.46998243,5
115.4590891,38.53731644,4
118.9460049,35.65733871,3
118.9799089,35.92304007,5
118.7692124,35.77904003,1
119.2155804,35.7556971,17
119.2163458,35.74590734,3
118.9996978,35.80907805,9
119.2749927,35.61298018,3
119.4610803,35.68345171,1
119.4246591,35.73670114,1
119.1461076,35.65612567,1
119.1056767,35.91554883,3
