JD,WD,value
116.7670156,30.60366922,1
119.268782,35.29195705,1
118.9893251,35.40548657,1
106.7371863,30.28648256,1
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.5540672,35.3961023,1
119.3866344,35.28446157,2
118.6240406,33.84566739,1
119.2738349,35.51464975,1
106.9507598,27.70800021,2
115.6115866,38.62736949,1
120.3880917,36.30814232,2
118.895378,35.87753653,1
112.9563338,34.92070114,1
118.8435382,35.58587212,1
118.8011232,35.52220152,2
118.931584,35.46998243,2
115.4590891,38.53731644,2
119.2155804,35.7556971,2
119.2163458,35.74590734,1
119.2749927,35.61298018,2
119.4610803,35.68345171,1
119.3319313,35.86638699,1
