JD,WD,value
116.2979565,35.41008808,2
116.7670156,30.60366922,1
119.268782,35.29195705,3
118.9893251,35.40548657,1
119.2860155,35.13672208,2
106.7371863,30.28648256,1
119.339158,35.17647178,6
119.1934703,35.17300822,6
105.9712604,35.34351848,1
119.4686243,35.431049,2
119.4586262,35.43829808,5
119.5540672,35.3961023,2
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,3
117.2007828,34.24453607,5
106.9507598,27.70800021,4
115.6115866,38.62736949,1
116.2005516,37.43284291,2
120.3880917,36.30814232,1
106.3741305,31.87138456,1
108.4963313,30.77400589,2
112.9563338,34.92070114,1
118.8435382,35.58587212,2
118.8011232,35.52220152,1
113.8643611,36.13099864,2
117.1689372,28.2246819,1
115.4590891,38.53731644,1
118.9721459,35.9918261,1
119.2155804,35.7556971,7
119.2163458,35.74590734,1
119.2749927,35.61298018,1
119.3319313,35.86638699,1
119.1056767,35.91554883,1
119.1292477,35.78829172,1
