JD,WD,value
116.2979565,35.41008808,3
119.5734467,35.57720323,2
116.7670156,30.60366922,1
119.268782,35.29195705,4
118.9893251,35.40548657,8
119.2860155,35.13672208,6
106.7371863,30.28648256,3
119.339158,35.17647178,7
119.1934703,35.17300822,8
119.3599022,35.10417597,1
105.9712604,35.34351848,2
119.4686243,35.431049,2
119.4586262,35.43829808,4
119.3866344,35.28446157,8
119.3012309,35.39150145,2
118.6240406,33.84566739,2
117.2007828,34.24453607,1
106.9507598,27.70800021,3
115.6115866,38.62736949,5
118.7800798,35.59681379,3
120.3880917,36.30814232,5
118.895378,35.87753653,2
115.6151801,38.90127817,6
118.8150764,35.8120243,1
108.4963313,30.77400589,2
112.9563338,34.92070114,4
118.8435382,35.58587212,18
118.8011232,35.52220152,7
113.8643611,36.13099864,3
118.9067767,35.58440415,2
118.931584,35.46998243,3
115.4590891,38.53731644,8
118.9460049,35.65733871,4
118.9721459,35.9918261,6
118.7692124,35.77904003,3
119.2155804,35.7556971,4
119.2163458,35.74590734,11
118.9996978,35.80907805,9
119.2749927,35.61298018,2
119.4610803,35.68345171,3
119.3319313,35.86638699,4
119.4246591,35.73670114,1
119.1056767,35.91554883,3
119.1292477,35.78829172,1
111.9018348,22.4752086,2
