JD,WD,value
116.7670156,30.60366922,1
119.268782,35.29195705,1
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.4586262,35.43829808,1
119.3866344,35.28446157,3
119.5301142,35.46771125,1
119.3012309,35.39150145,2
118.6240406,33.84566739,1
118.8435382,35.58587212,1
119.2155804,35.7556971,1
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.2749927,35.61298018,4
119.3319313,35.86638699,4
119.1461076,35.65612567,2
119.1056767,35.91554883,1
