JD,WD,value
116.7670156,30.60366922,1
118.9893251,35.40548657,1
119.2860155,35.13672208,3
119.339158,35.17647178,2
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.3012309,35.39150145,2
118.6240406,33.84566739,1
115.6115866,38.62736949,2
118.7800798,35.59681379,4
120.3880917,36.30814232,1
118.895378,35.87753653,12
115.6151801,38.90127817,9
118.8150764,35.8120243,2
108.4963313,30.77400589,2
112.9563338,34.92070114,14
118.8435382,35.58587212,86
118.8011232,35.52220152,4
113.8643611,36.13099864,2
118.9067767,35.58440415,1
117.1689372,28.2246819,10
118.9460049,35.65733871,10
118.9721459,35.9918261,6
118.9799089,35.92304007,14
119.2155804,35.7556971,2
119.2163458,35.74590734,5
118.9996978,35.80907805,1
119.3319313,35.86638699,2
119.3964308,35.50585644,1
