JD,WD,value
119.268782,35.29195705,1
118.9893251,35.40548657,2
119.2860155,35.13672208,1
119.339158,35.17647178,2
119.3599022,35.10417597,1
119.4586262,35.43829808,1
112.1380499,29.10446695,1
119.3012309,35.39150145,1
118.6240406,33.84566739,1
117.2007828,34.24453607,2
106.9507598,27.70800021,3
115.6115866,38.62736949,4
118.7800798,35.59681379,4
116.2005516,37.43284291,1
120.3880917,36.30814232,3
118.895378,35.87753653,1
115.6151801,38.90127817,4
106.3741305,31.87138456,1
118.8150764,35.8120243,2
112.9563338,34.92070114,1
118.8435382,35.58587212,19
118.8011232,35.52220152,7
113.8643611,36.13099864,2
118.9067767,35.58440415,3
118.931584,35.46998243,3
115.4590891,38.53731644,4
118.9460049,35.65733871,3
118.7692124,35.77904003,6
119.2155804,35.7556971,3
118.9996978,35.80907805,5
119.2749927,35.61298018,2
111.9018348,22.4752086,1
