JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,1
116.7670156,30.60366922,1
118.9893251,35.40548657,1
119.2860155,35.13672208,1
105.9712604,35.34351848,1
119.4586262,35.43829808,3
119.5540672,35.3961023,1
119.3866344,35.28446157,1
119.5301142,35.46771125,1
117.2007828,34.24453607,4
115.6115866,38.62736949,1
118.7800798,35.59681379,7
116.2005516,37.43284291,2
120.3880917,36.30814232,2
118.895378,35.87753653,3
115.6151801,38.90127817,3
106.3741305,31.87138456,1
112.9563338,34.92070114,1
118.8435382,35.58587212,9
118.8011232,35.52220152,1
113.8643611,36.13099864,4
118.9067767,35.58440415,2
117.1689372,28.2246819,2
118.931584,35.46998243,1
115.4590891,38.53731644,5
118.9460049,35.65733871,3
119.2155804,35.7556971,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.1461076,35.65612567,1
