JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,1
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.3599022,35.10417597,3
119.4686243,35.431049,2
119.4586262,35.43829808,4
119.5540672,35.3961023,1
119.3866344,35.28446157,4
112.1380499,29.10446695,1
119.5301142,35.46771125,4
119.3012309,35.39150145,4
119.5170405,35.53091754,1
118.6240406,33.84566739,4
119.2738349,35.51464975,2
117.2007828,34.24453607,1
112.9563338,34.92070114,1
118.931584,35.46998243,1
119.2749927,35.61298018,1
119.4610803,35.68345171,1
