JD,WD,value
116.7670156,30.60366922,1
106.7371863,30.28648256,1
119.339158,35.17647178,1
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4586262,35.43829808,2
119.3012309,35.39150145,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
106.9507598,27.70800021,1
118.7800798,35.59681379,2
116.2005516,37.43284291,2
120.3880917,36.30814232,3
115.6151801,38.90127817,1
106.3741305,31.87138456,2
118.8150764,35.8120243,1
112.9563338,34.92070114,1
118.8435382,35.58587212,10
118.8011232,35.52220152,2
113.8643611,36.13099864,1
118.9067767,35.58440415,4
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,1
118.9721459,35.9918261,3
119.2155804,35.7556971,4
119.2163458,35.74590734,3
119.3319313,35.86638699,1
119.1461076,35.65612567,1
119.1056767,35.91554883,2
119.1292477,35.78829172,1
111.9018348,22.4752086,3
