JD,WD,value
116.7670156,30.60366922,1
118.9893251,35.40548657,2
119.2860155,35.13672208,2
119.339158,35.17647178,2
119.4686243,35.431049,1
119.4586262,35.43829808,4
119.3012309,35.39150145,1
118.6240406,33.84566739,4
119.2738349,35.51464975,1
117.2007828,34.24453607,2
106.9507598,27.70800021,6
115.6151801,38.90127817,1
118.8150764,35.8120243,3
112.9563338,34.92070114,2
118.8435382,35.58587212,3
118.8011232,35.52220152,3
113.8643611,36.13099864,2
118.9067767,35.58440415,1
118.9460049,35.65733871,2
118.9721459,35.9918261,2
118.9799089,35.92304007,2
119.2155804,35.7556971,3
119.2163458,35.74590734,3
118.9996978,35.80907805,1
119.3319313,35.86638699,1
119.1056767,35.91554883,1
