JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
106.7371863,30.28648256,1
119.339158,35.17647178,1
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.4586262,35.43829808,4
119.5540672,35.3961023,4
119.3866344,35.28446157,1
119.5301142,35.46771125,2
119.2738349,35.51464975,1
106.9507598,27.70800021,5
118.8435382,35.58587212,2
118.8011232,35.52220152,2
113.8643611,36.13099864,2
118.931584,35.46998243,1
119.2155804,35.7556971,4
118.9996978,35.80907805,2
119.4246591,35.73670114,1
