JD,WD,value
119.5734467,35.57720323,2
118.9893251,35.40548657,1
119.2860155,35.13672208,2
119.339158,35.17647178,1
105.9712604,35.34351848,1
119.3599022,35.10417597,2
119.4686243,35.431049,2
119.4586262,35.43829808,3
112.1380499,29.10446695,2
118.6240406,33.84566739,1
106.9507598,27.70800021,3
116.2005516,37.43284291,2
106.3741305,31.87138456,1
118.8150764,35.8120243,1
118.8435382,35.58587212,1
113.8643611,36.13099864,1
119.2155804,35.7556971,2
119.2163458,35.74590734,3
118.9996978,35.80907805,2
