JD,WD,value
118.9893251,35.40548657,1
119.339158,35.17647178,1
119.1934703,35.17300822,2
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4586262,35.43829808,2
119.5301142,35.46771125,1
118.895378,35.87753653,2
115.6151801,38.90127817,1
106.3741305,31.87138456,1
108.4963313,30.77400589,2
113.8643611,36.13099864,1
117.1689372,28.2246819,1
115.4590891,38.53731644,2
118.9721459,35.9918261,1
119.2155804,35.7556971,1
118.9996978,35.80907805,2
119.3319313,35.86638699,1
119.1056767,35.91554883,2
