JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,2
119.268782,35.29195705,3
106.7371863,30.28648256,2
119.1934703,35.17300822,1
119.3599022,35.10417597,4
105.9712604,35.34351848,2
119.4686243,35.431049,5
119.4586262,35.43829808,9
119.3866344,35.28446157,5
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,1
118.6240406,33.84566739,3
117.2007828,34.24453607,1
118.7800798,35.59681379,1
116.2005516,37.43284291,1
115.6151801,38.90127817,1
118.8435382,35.58587212,3
119.2155804,35.7556971,3
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.3319313,35.86638699,3
119.4246591,35.73670114,1
119.1056767,35.91554883,1
119.1292477,35.78829172,1
