JD,WD,value
116.2979565,35.41008808,2
116.7670156,30.60366922,1
119.268782,35.29195705,2
118.9893251,35.40548657,3
106.7371863,30.28648256,4
105.9712604,35.34351848,1
119.3599022,35.10417597,5
119.4686243,35.431049,3
119.4586262,35.43829808,1
119.5301142,35.46771125,2
119.3012309,35.39150145,4
118.6240406,33.84566739,1
115.6115866,38.62736949,1
118.7800798,35.59681379,3
116.2005516,37.43284291,1
120.3880917,36.30814232,4
118.895378,35.87753653,1
115.6151801,38.90127817,1
118.8150764,35.8120243,2
112.9563338,34.92070114,3
118.8435382,35.58587212,9
118.8011232,35.52220152,3
115.4590891,38.53731644,1
118.9460049,35.65733871,1
118.7692124,35.77904003,3
119.2155804,35.7556971,4
119.2163458,35.74590734,2
118.9996978,35.80907805,9
119.2749927,35.61298018,1
