JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,3
119.268782,35.29195705,6
118.9893251,35.40548657,1
106.7371863,30.28648256,3
119.339158,35.17647178,1
119.3599022,35.10417597,1
105.9712604,35.34351848,2
119.4686243,35.431049,6
119.4586262,35.43829808,1
119.5540672,35.3961023,3
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,2
119.3012309,35.39150145,9
119.5170405,35.53091754,1
118.6240406,33.84566739,2
117.2007828,34.24453607,1
106.9507598,27.70800021,3
115.6115866,38.62736949,1
118.7800798,35.59681379,1
120.3880917,36.30814232,1
118.895378,35.87753653,2
118.8150764,35.8120243,1
112.9563338,34.92070114,2
118.8435382,35.58587212,6
118.8011232,35.52220152,2
113.8643611,36.13099864,1
118.9067767,35.58440415,1
118.931584,35.46998243,1
118.9721459,35.9918261,1
118.9799089,35.92304007,1
119.2155804,35.7556971,10
119.2163458,35.74590734,1
118.9996978,35.80907805,4
119.2749927,35.61298018,1
119.1056767,35.91554883,1
111.9018348,22.4752086,1
