JD,WD,value
116.2979565,35.41008808,4
119.5734467,35.57720323,3
116.7670156,30.60366922,4
119.268782,35.29195705,26
118.9893251,35.40548657,5
119.2860155,35.13672208,11
106.7371863,30.28648256,8
119.339158,35.17647178,16
119.1934703,35.17300822,18
119.3599022,35.10417597,21
105.9712604,35.34351848,31
119.4686243,35.431049,16
119.4586262,35.43829808,18
119.5540672,35.3961023,16
119.3866344,35.28446157,21
112.1380499,29.10446695,6
119.5301142,35.46771125,13
119.3012309,35.39150145,5
119.5170405,35.53091754,4
118.6240406,33.84566739,57
119.2738349,35.51464975,3
117.2007828,34.24453607,4
106.9507598,27.70800021,8
115.6115866,38.62736949,15
118.7800798,35.59681379,16
116.2005516,37.43284291,2
120.3880917,36.30814232,18
118.895378,35.87753653,2
115.6151801,38.90127817,30
106.3741305,31.87138456,5
108.4963313,30.77400589,16
112.9563338,34.92070114,14
118.8435382,35.58587212,81
118.8011232,35.52220152,6
113.8643611,36.13099864,11
118.9067767,35.58440415,19
117.1689372,28.2246819,1
118.931584,35.46998243,4
115.4590891,38.53731644,4
118.9460049,35.65733871,7
118.9721459,35.9918261,1
118.9799089,35.92304007,8
118.7692124,35.77904003,18
119.2155804,35.7556971,69
119.2163458,35.74590734,32
118.9996978,35.80907805,8
119.2749927,35.61298018,8
119.4610803,35.68345171,1
119.3319313,35.86638699,7
119.4246591,35.73670114,7
119.3964308,35.50585644,1
119.1461076,35.65612567,1
119.1056767,35.91554883,27
119.1292477,35.78829172,1
111.9018348,22.4752086,10
