JD,WD,value
116.2979565,35.41008808,8
119.5734467,35.57720323,7
116.7670156,30.60366922,20
119.268782,35.29195705,30
118.9893251,35.40548657,46
119.2860155,35.13672208,5
106.7371863,30.28648256,13
119.339158,35.17647178,5
119.1934703,35.17300822,13
119.3599022,35.10417597,20
105.9712604,35.34351848,14
119.4686243,35.431049,20
119.4586262,35.43829808,33
119.5540672,35.3961023,12
119.3866344,35.28446157,14
112.1380499,29.10446695,13
119.5301142,35.46771125,16
119.3012309,35.39150145,14
119.5170405,35.53091754,9
118.6240406,33.84566739,32
119.2738349,35.51464975,10
117.2007828,34.24453607,13
106.9507598,27.70800021,17
115.6115866,38.62736949,30
118.7800798,35.59681379,38
116.2005516,37.43284291,67
120.3880917,36.30814232,62
118.895378,35.87753653,37
115.6151801,38.90127817,54
106.3741305,31.87138456,18
118.8150764,35.8120243,21
108.4963313,30.77400589,30
112.9563338,34.92070114,65
118.8435382,35.58587212,239
118.8011232,35.52220152,38
113.8643611,36.13099864,41
118.9067767,35.58440415,37
117.1689372,28.2246819,28
118.931584,35.46998243,33
115.4590891,38.53731644,52
118.9460049,35.65733871,64
118.9721459,35.9918261,55
118.9799089,35.92304007,18
118.7692124,35.77904003,17
119.2155804,35.7556971,122
119.2163458,35.74590734,88
118.9996978,35.80907805,42
119.2749927,35.61298018,49
119.4610803,35.68345171,24
119.3319313,35.86638699,52
119.4246591,35.73670114,9
119.3964308,35.50585644,3
119.1461076,35.65612567,10
119.1056767,35.91554883,17
119.1292477,35.78829172,12
111.9018348,22.4752086,22
