JD,WD,value
116.2979565,35.41008808,10
119.5734467,35.57720323,14
116.7670156,30.60366922,34
119.268782,35.29195705,68
118.9893251,35.40548657,61
119.2860155,35.13672208,18
106.7371863,30.28648256,13
119.339158,35.17647178,27
119.1934703,35.17300822,16
119.3599022,35.10417597,45
105.9712604,35.34351848,19
119.4686243,35.431049,36
119.4586262,35.43829808,24
119.5540672,35.3961023,19
119.3866344,35.28446157,21
112.1380499,29.10446695,16
119.5301142,35.46771125,22
119.3012309,35.39150145,29
119.5170405,35.53091754,4
118.6240406,33.84566739,39
119.2738349,35.51464975,12
117.2007828,34.24453607,26
106.9507598,27.70800021,42
115.6115866,38.62736949,16
118.7800798,35.59681379,26
116.2005516,37.43284291,33
120.3880917,36.30814232,44
118.895378,35.87753653,28
115.6151801,38.90127817,35
106.3741305,31.87138456,9
118.8150764,35.8120243,7
108.4963313,30.77400589,21
112.9563338,34.92070114,36
118.8435382,35.58587212,118
118.8011232,35.52220152,37
113.8643611,36.13099864,16
118.9067767,35.58440415,14
117.1689372,28.2246819,17
118.931584,35.46998243,16
115.4590891,38.53731644,17
118.9460049,35.65733871,16
118.9721459,35.9918261,22
118.9799089,35.92304007,7
118.7692124,35.77904003,19
119.2155804,35.7556971,142
119.2163458,35.74590734,56
118.9996978,35.80907805,22
119.2749927,35.61298018,22
119.4610803,35.68345171,14
119.3319313,35.86638699,25
119.4246591,35.73670114,7
119.1461076,35.65612567,11
119.1056767,35.91554883,8
119.1292477,35.78829172,6
111.9018348,22.4752086,5
