JD,WD,value
119.268782,35.29195705,1
119.2860155,35.13672208,2
119.339158,35.17647178,1
105.9712604,35.34351848,1
119.4686243,35.431049,8
119.4586262,35.43829808,6
119.3866344,35.28446157,4
112.1380499,29.10446695,1
119.5170405,35.53091754,1
119.2738349,35.51464975,1
106.9507598,27.70800021,6
116.2005516,37.43284291,2
120.3880917,36.30814232,3
118.895378,35.87753653,1
113.8643611,36.13099864,2
118.9067767,35.58440415,1
117.1689372,28.2246819,1
119.2155804,35.7556971,3
119.2163458,35.74590734,14
118.9996978,35.80907805,1
