JD,WD,value
116.7670156,30.60366922,7
118.9893251,35.40548657,2
106.7371863,30.28648256,1
119.339158,35.17647178,2
105.9712604,35.34351848,62
119.3599022,35.10417597,2
119.4686243,35.431049,7
119.4586262,35.43829808,3
119.3866344,35.28446157,1
115.6115866,38.62736949,1
118.7800798,35.59681379,1
120.3880917,36.30814232,1
118.895378,35.87753653,1
115.6151801,38.90127817,2
112.9563338,34.92070114,2
118.8435382,35.58587212,10
113.8643611,36.13099864,26
118.9460049,35.65733871,7
118.9996978,35.80907805,2
119.2749927,35.61298018,3
119.3319313,35.86638699,2
119.1056767,35.91554883,1
