JD,WD,value
119.2860155,35.13672208,2
119.339158,35.17647178,1
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.3866344,35.28446157,2
118.6240406,33.84566739,1
117.2007828,34.24453607,1
115.6115866,38.62736949,1
116.2005516,37.43284291,1
120.3880917,36.30814232,1
118.895378,35.87753653,1
115.6151801,38.90127817,2
106.3741305,31.87138456,1
118.8435382,35.58587212,1
113.8643611,36.13099864,2
119.2155804,35.7556971,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.2749927,35.61298018,1
