JD,WD,value
116.7670156,30.60366922,3
119.268782,35.29195705,2
119.1934703,35.17300822,4
119.4686243,35.431049,3
119.4586262,35.43829808,2
119.5540672,35.3961023,3
119.3866344,35.28446157,2
117.2007828,34.24453607,2
106.9507598,27.70800021,10
116.2005516,37.43284291,1
118.895378,35.87753653,2
106.3741305,31.87138456,3
118.8435382,35.58587212,3
118.8011232,35.52220152,2
115.4590891,38.53731644,1
118.9721459,35.9918261,1
118.9799089,35.92304007,1
119.2155804,35.7556971,26
119.2163458,35.74590734,2
118.9996978,35.80907805,1
119.3319313,35.86638699,41
119.1292477,35.78829172,2
