JD,WD,value
116.2979565,35.41008808,1
119.268782,35.29195705,2
106.7371863,30.28648256,1
119.1934703,35.17300822,2
105.9712604,35.34351848,7
119.4586262,35.43829808,1
119.5540672,35.3961023,2
119.3866344,35.28446157,1
119.3012309,35.39150145,1
118.6240406,33.84566739,3
117.2007828,34.24453607,4
106.9507598,27.70800021,3
116.2005516,37.43284291,1
120.3880917,36.30814232,1
108.4963313,30.77400589,2
118.8435382,35.58587212,5
118.8011232,35.52220152,2
113.8643611,36.13099864,8
117.1689372,28.2246819,1
118.9460049,35.65733871,2
118.9721459,35.9918261,1
118.9799089,35.92304007,1
119.2155804,35.7556971,6
119.2749927,35.61298018,1
119.3319313,35.86638699,1
119.1056767,35.91554883,1
