JD,WD,value
119.5734467,35.57720323,1
118.9893251,35.40548657,1
119.2860155,35.13672208,1
119.339158,35.17647178,1
119.5540672,35.3961023,2
119.3012309,35.39150145,5
118.6240406,33.84566739,1
115.6115866,38.62736949,1
118.7800798,35.59681379,1
116.2005516,37.43284291,3
120.3880917,36.30814232,3
118.895378,35.87753653,2
115.6151801,38.90127817,1
106.3741305,31.87138456,5
112.9563338,34.92070114,1
118.8435382,35.58587212,23
118.8011232,35.52220152,1
118.9067767,35.58440415,1
118.9460049,35.65733871,1
119.2155804,35.7556971,22
119.2163458,35.74590734,11
118.9996978,35.80907805,1
119.2749927,35.61298018,2
119.4610803,35.68345171,1
119.3319313,35.86638699,8
119.1056767,35.91554883,10
119.1292477,35.78829172,2
