JD,WD,value
119.268782,35.29195705,28
118.9893251,35.40548657,1
119.2860155,35.13672208,3
106.7371863,30.28648256,8
119.339158,35.17647178,1
119.1934703,35.17300822,12
105.9712604,35.34351848,1
119.4686243,35.431049,2
119.5540672,35.3961023,4
119.3866344,35.28446157,3
112.1380499,29.10446695,2
119.5301142,35.46771125,1
119.3012309,35.39150145,4
118.6240406,33.84566739,10
106.9507598,27.70800021,5
115.6115866,38.62736949,2
118.7800798,35.59681379,1
116.2005516,37.43284291,8
120.3880917,36.30814232,3
118.8150764,35.8120243,2
108.4963313,30.77400589,1
112.9563338,34.92070114,6
118.8435382,35.58587212,41
118.8011232,35.52220152,15
113.8643611,36.13099864,69
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,7
115.4590891,38.53731644,25
118.7692124,35.77904003,1
119.2155804,35.7556971,30
119.2163458,35.74590734,93
118.9996978,35.80907805,4
119.2749927,35.61298018,8
119.3319313,35.86638699,10
119.4246591,35.73670114,1
119.1461076,35.65612567,7
119.1056767,35.91554883,2
