JD,WD,value
115.6115866,38.62736949,1
118.7800798,35.59681379,2
116.2005516,37.43284291,3
120.3880917,36.30814232,17
118.895378,35.87753653,1
115.6151801,38.90127817,4
106.3741305,31.87138456,1
108.4963313,30.77400589,5
112.9563338,34.92070114,1
118.8435382,35.58587212,11
118.8011232,35.52220152,25
113.8643611,36.13099864,15
118.9067767,35.58440415,1
117.1689372,28.2246819,2
118.931584,35.46998243,15
115.4590891,38.53731644,1
118.9460049,35.65733871,2
119.2749927,35.61298018,9
119.4610803,35.68345171,2
