JD,WD,value
116.7670156,30.60366922,6
119.268782,35.29195705,5
118.9893251,35.40548657,6
119.339158,35.17647178,5
119.1934703,35.17300822,3
119.3599022,35.10417597,3
105.9712604,35.34351848,2
119.4686243,35.431049,2
119.4586262,35.43829808,7
119.5540672,35.3961023,4
119.3866344,35.28446157,2
112.1380499,29.10446695,1
119.5301142,35.46771125,5
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,3
119.2738349,35.51464975,2
117.2007828,34.24453607,2
106.9507598,27.70800021,5
115.6115866,38.62736949,2
116.2005516,37.43284291,2
120.3880917,36.30814232,3
118.895378,35.87753653,2
115.6151801,38.90127817,1
118.8150764,35.8120243,1
108.4963313,30.77400589,1
112.9563338,34.92070114,2
118.8435382,35.58587212,4
118.8011232,35.52220152,1
113.8643611,36.13099864,4
118.9067767,35.58440415,1
115.4590891,38.53731644,2
118.9460049,35.65733871,2
118.7692124,35.77904003,1
119.2155804,35.7556971,4
119.2163458,35.74590734,5
118.9996978,35.80907805,5
119.2749927,35.61298018,5
119.3319313,35.86638699,2
119.1461076,35.65612567,3
119.1056767,35.91554883,5
119.1292477,35.78829172,2
111.9018348,22.4752086,2
