JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,4
119.268782,35.29195705,1
106.7371863,30.28648256,1
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.5540672,35.3961023,2
119.3866344,35.28446157,2
112.1380499,29.10446695,1
119.5301142,35.46771125,1
118.6240406,33.84566739,2
117.2007828,34.24453607,1
106.9507598,27.70800021,1
118.7800798,35.59681379,2
120.3880917,36.30814232,7
118.895378,35.87753653,1
115.6151801,38.90127817,6
106.3741305,31.87138456,2
118.8150764,35.8120243,1
108.4963313,30.77400589,2
118.8435382,35.58587212,28
118.8011232,35.52220152,2
118.9067767,35.58440415,1
117.1689372,28.2246819,5
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9460049,35.65733871,8
118.9721459,35.9918261,4
118.9799089,35.92304007,8
118.7692124,35.77904003,2
119.2155804,35.7556971,23
119.2163458,35.74590734,1
118.9996978,35.80907805,6
119.2749927,35.61298018,2
119.3319313,35.86638699,3
119.4246591,35.73670114,1
119.3964308,35.50585644,1
119.1461076,35.65612567,1
119.1056767,35.91554883,6
111.9018348,22.4752086,4
