JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,2
119.268782,35.29195705,4
118.9893251,35.40548657,2
119.2860155,35.13672208,2
119.3599022,35.10417597,1
119.3866344,35.28446157,2
112.1380499,29.10446695,1
118.7800798,35.59681379,1
116.2005516,37.43284291,1
118.8150764,35.8120243,1
118.8435382,35.58587212,3
113.8643611,36.13099864,12
117.1689372,28.2246819,1
119.2155804,35.7556971,7
119.2163458,35.74590734,3
118.9996978,35.80907805,1
119.2749927,35.61298018,5
119.4610803,35.68345171,1
119.3319313,35.86638699,3
