JD,WD,value
119.5734467,35.57720323,4
116.7670156,30.60366922,1
119.268782,35.29195705,3
106.7371863,30.28648256,1
119.339158,35.17647178,2
105.9712604,35.34351848,5
119.3599022,35.10417597,1
119.4586262,35.43829808,9
119.3866344,35.28446157,2
119.5301142,35.46771125,2
119.3012309,35.39150145,2
119.5170405,35.53091754,3
118.6240406,33.84566739,3
117.2007828,34.24453607,1
118.8435382,35.58587212,1
119.2155804,35.7556971,1
119.2163458,35.74590734,1
118.9996978,35.80907805,2
119.2749927,35.61298018,3
119.3319313,35.86638699,1
