JD,WD,value
116.2979565,35.41008808,1
118.9893251,35.40548657,1
119.2860155,35.13672208,1
119.1934703,35.17300822,1
105.9712604,35.34351848,1
119.3866344,35.28446157,1
119.5301142,35.46771125,1
119.3012309,35.39150145,2
118.6240406,33.84566739,2
106.9507598,27.70800021,1
118.895378,35.87753653,1
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,1
118.931584,35.46998243,1
115.4590891,38.53731644,2
118.9460049,35.65733871,1
118.7692124,35.77904003,1
119.2155804,35.7556971,1
119.2163458,35.74590734,2
119.3319313,35.86638699,1
