JD,WD,value
116.2979565,35.41008808,2
119.268782,35.29195705,3
118.9893251,35.40548657,1
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.1934703,35.17300822,1
119.3599022,35.10417597,1
119.4586262,35.43829808,1
119.5540672,35.3961023,1
119.3866344,35.28446157,2
112.1380499,29.10446695,1
119.5301142,35.46771125,2
119.5170405,35.53091754,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,2
106.9507598,27.70800021,1
118.8435382,35.58587212,1
118.9721459,35.9918261,1
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.1461076,35.65612567,1
111.9018348,22.4752086,1
