JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,3
116.7670156,30.60366922,2
119.268782,35.29195705,4
118.9893251,35.40548657,4
119.2860155,35.13672208,4
106.7371863,30.28648256,4
119.339158,35.17647178,8
119.1934703,35.17300822,6
119.3599022,35.10417597,6
105.9712604,35.34351848,7
119.4686243,35.431049,2
119.4586262,35.43829808,14
119.3866344,35.28446157,5
119.5301142,35.46771125,5
119.3012309,35.39150145,9
119.5170405,35.53091754,2
118.6240406,33.84566739,10
119.2738349,35.51464975,2
117.2007828,34.24453607,4
106.9507598,27.70800021,4
115.6115866,38.62736949,5
116.2005516,37.43284291,8
120.3880917,36.30814232,2
118.895378,35.87753653,3
115.6151801,38.90127817,2
106.3741305,31.87138456,2
118.8150764,35.8120243,1
112.9563338,34.92070114,3
118.8435382,35.58587212,2
118.8011232,35.52220152,3
113.8643611,36.13099864,4
117.1689372,28.2246819,2
118.931584,35.46998243,3
118.9460049,35.65733871,2
118.9721459,35.9918261,5
118.9799089,35.92304007,1
119.2155804,35.7556971,1
119.2163458,35.74590734,4
118.9996978,35.80907805,3
119.2749927,35.61298018,2
119.4610803,35.68345171,2
119.3319313,35.86638699,3
119.1056767,35.91554883,2
111.9018348,22.4752086,4
