JD,WD,value
119.268782,35.29195705,2
118.9893251,35.40548657,2
119.339158,35.17647178,1
105.9712604,35.34351848,1
119.4586262,35.43829808,2
119.5540672,35.3961023,2
119.3866344,35.28446157,3
112.1380499,29.10446695,1
119.3012309,35.39150145,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
106.9507598,27.70800021,2
120.3880917,36.30814232,1
118.895378,35.87753653,1
118.8011232,35.52220152,1
118.9067767,35.58440415,2
118.931584,35.46998243,1
115.4590891,38.53731644,1
119.2155804,35.7556971,6
118.9996978,35.80907805,1
119.2749927,35.61298018,3
119.3319313,35.86638699,1
119.1056767,35.91554883,1
