JD,WD,value
105.9712604,35.34351848,1
119.4586262,35.43829808,3
119.3866344,35.28446157,1
119.3012309,35.39150145,1
119.2738349,35.51464975,1
117.2007828,34.24453607,1
106.9507598,27.70800021,1
118.7800798,35.59681379,1
120.3880917,36.30814232,4
115.6151801,38.90127817,2
108.4963313,30.77400589,1
118.8435382,35.58587212,1
117.1689372,28.2246819,2
118.9460049,35.65733871,3
118.9721459,35.9918261,1
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.3319313,35.86638699,1
119.1461076,35.65612567,1
