JD,WD,value
116.7670156,30.60366922,2
119.268782,35.29195705,2
118.9893251,35.40548657,2
119.2860155,35.13672208,1
106.7371863,30.28648256,5
105.9712604,35.34351848,2
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.3866344,35.28446157,4
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,9
118.6240406,33.84566739,4
119.2738349,35.51464975,1
117.2007828,34.24453607,1
106.9507598,27.70800021,2
115.6151801,38.90127817,6
106.3741305,31.87138456,2
118.8435382,35.58587212,6
113.8643611,36.13099864,9
115.4590891,38.53731644,1
118.7692124,35.77904003,2
119.2155804,35.7556971,10
118.9996978,35.80907805,3
119.2749927,35.61298018,7
119.3319313,35.86638699,9
119.1461076,35.65612567,1
