JD,WD,value
115.6115866,38.62736949,1
116.2005516,37.43284291,2
120.3880917,36.30814232,3
115.6151801,38.90127817,6
106.3741305,31.87138456,2
108.4963313,30.77400589,2
112.9563338,34.92070114,3
118.8435382,35.58587212,19
113.8643611,36.13099864,11
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.931584,35.46998243,3
115.4590891,38.53731644,7
118.9721459,35.9918261,5
118.9799089,35.92304007,2
118.7692124,35.77904003,2
119.2155804,35.7556971,6
119.2163458,35.74590734,2
118.9996978,35.80907805,1
119.2749927,35.61298018,11
119.1056767,35.91554883,5
