JD,WD,value
118.9893251,35.40548657,1
119.2860155,35.13672208,2
119.2738349,35.51464975,1
118.7800798,35.59681379,2
116.2005516,37.43284291,3
120.3880917,36.30814232,9
118.895378,35.87753653,2
115.6151801,38.90127817,6
106.3741305,31.87138456,3
108.4963313,30.77400589,3
112.9563338,34.92070114,1
118.8435382,35.58587212,18
118.8011232,35.52220152,5
113.8643611,36.13099864,6
118.9067767,35.58440415,4
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,5
118.9721459,35.9918261,3
118.7692124,35.77904003,1
119.2155804,35.7556971,3
119.2163458,35.74590734,9
118.9996978,35.80907805,2
119.2749927,35.61298018,2
119.4610803,35.68345171,1
