JD,WD,value
119.5734467,35.57720323,1
119.268782,35.29195705,2
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.1934703,35.17300822,2
105.9712604,35.34351848,1
119.5540672,35.3961023,1
119.3866344,35.28446157,1
112.1380499,29.10446695,7
119.3012309,35.39150145,1
117.2007828,34.24453607,1
115.6151801,38.90127817,2
118.8435382,35.58587212,7
118.8011232,35.52220152,1
115.4590891,38.53731644,1
118.9799089,35.92304007,1
119.2155804,35.7556971,2
118.9996978,35.80907805,1
119.4246591,35.73670114,1
119.1461076,35.65612567,1
