JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,5
119.268782,35.29195705,7
118.9893251,35.40548657,1
119.2860155,35.13672208,16
106.7371863,30.28648256,1
119.339158,35.17647178,16
119.1934703,35.17300822,9
119.3599022,35.10417597,8
105.9712604,35.34351848,11
119.4686243,35.431049,5
119.4586262,35.43829808,7
119.5540672,35.3961023,5
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.3012309,35.39150145,4
118.6240406,33.84566739,4
119.2738349,35.51464975,2
117.2007828,34.24453607,3
106.9507598,27.70800021,1
115.6115866,38.62736949,3
118.7800798,35.59681379,2
116.2005516,37.43284291,4
120.3880917,36.30814232,6
118.895378,35.87753653,1
115.6151801,38.90127817,7
112.9563338,34.92070114,1
118.8435382,35.58587212,10
118.8011232,35.52220152,3
113.8643611,36.13099864,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
115.4590891,38.53731644,6
118.9460049,35.65733871,1
119.2155804,35.7556971,15
119.2163458,35.74590734,4
118.9996978,35.80907805,5
119.2749927,35.61298018,4
119.4610803,35.68345171,1
119.4246591,35.73670114,1
111.9018348,22.4752086,3
