JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,2
116.7670156,30.60366922,2
119.268782,35.29195705,4
119.2860155,35.13672208,3
106.7371863,30.28648256,3
119.339158,35.17647178,1
119.1934703,35.17300822,3
119.3599022,35.10417597,3
105.9712604,35.34351848,1
119.4686243,35.431049,4
119.4586262,35.43829808,8
119.5540672,35.3961023,4
119.3866344,35.28446157,4
112.1380499,29.10446695,1
119.5301142,35.46771125,3
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,5
119.2738349,35.51464975,2
117.2007828,34.24453607,4
106.9507598,27.70800021,3
115.6115866,38.62736949,1
120.3880917,36.30814232,3
115.6151801,38.90127817,2
108.4963313,30.77400589,2
118.8435382,35.58587212,7
118.8011232,35.52220152,4
118.9067767,35.58440415,3
118.9460049,35.65733871,2
119.2155804,35.7556971,7
119.2163458,35.74590734,4
119.2749927,35.61298018,1
111.9018348,22.4752086,7
