JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,5
116.7670156,30.60366922,1
119.268782,35.29195705,5
118.9893251,35.40548657,2
119.2860155,35.13672208,5
106.7371863,30.28648256,6
119.1934703,35.17300822,8
119.3599022,35.10417597,7
105.9712604,35.34351848,6
119.4686243,35.431049,6
119.4586262,35.43829808,7
119.5540672,35.3961023,3
119.3866344,35.28446157,2
112.1380499,29.10446695,2
119.5301142,35.46771125,3
119.3012309,35.39150145,1
119.5170405,35.53091754,3
118.6240406,33.84566739,3
119.2738349,35.51464975,1
117.2007828,34.24453607,1
106.9507598,27.70800021,8
115.6115866,38.62736949,4
118.7800798,35.59681379,4
116.2005516,37.43284291,8
120.3880917,36.30814232,22
118.895378,35.87753653,7
115.6151801,38.90127817,11
106.3741305,31.87138456,6
118.8150764,35.8120243,10
108.4963313,30.77400589,1
112.9563338,34.92070114,4
118.8435382,35.58587212,68
118.8011232,35.52220152,62
113.8643611,36.13099864,39
118.9067767,35.58440415,3
117.1689372,28.2246819,6
118.931584,35.46998243,4
115.4590891,38.53731644,8
118.9460049,35.65733871,5
118.9721459,35.9918261,6
118.9799089,35.92304007,2
118.7692124,35.77904003,7
119.2155804,35.7556971,50
119.2163458,35.74590734,8
118.9996978,35.80907805,2
119.2749927,35.61298018,19
119.4610803,35.68345171,2
119.3319313,35.86638699,3
119.4246591,35.73670114,1
119.1461076,35.65612567,2
119.1292477,35.78829172,1
111.9018348,22.4752086,3
