JD,WD,value
116.2979565,35.41008808,38
116.5273454,30.66495721,1
119.5734467,35.57720323,40
116.7670156,30.60366922,29
119.268782,35.29195705,34
118.9893251,35.40548657,28
119.2860155,35.13672208,34
106.7371863,30.28648256,24
119.339158,35.17647178,34
119.1934703,35.17300822,32
119.3599022,35.10417597,71
105.9712604,35.34351848,20
119.4686243,35.431049,52
119.4586262,35.43829808,123
119.5540672,35.3961023,77
119.3866344,35.28446157,34
112.1380499,29.10446695,23
119.5301142,35.46771125,72
119.3012309,35.39150145,30
119.5170405,35.53091754,11
118.6240406,33.84566739,20
119.2738349,35.51464975,13
117.2007828,34.24453607,55
106.9507598,27.70800021,66
115.6115866,38.62736949,27
118.7800798,35.59681379,26
116.2005516,37.43284291,26
120.3880917,36.30814232,84
118.895378,35.87753653,29
115.6151801,38.90127817,22
106.3741305,31.87138456,18
118.8150764,35.8120243,12
108.4963313,30.77400589,12
112.9563338,34.92070114,26
118.8435382,35.58587212,70
118.8011232,35.52220152,27
113.8643611,36.13099864,24
118.9067767,35.58440415,14
117.1689372,28.2246819,13
118.931584,35.46998243,12
115.4590891,38.53731644,30
118.9460049,35.65733871,16
118.9721459,35.9918261,5
118.9799089,35.92304007,9
118.7692124,35.77904003,1
119.2155804,35.7556971,125
119.2163458,35.74590734,87
118.9996978,35.80907805,34
119.2749927,35.61298018,23
119.4610803,35.68345171,17
119.3319313,35.86638699,20
119.4246591,35.73670114,1
119.3964308,35.50585644,2
119.1461076,35.65612567,2
119.1056767,35.91554883,9
119.1292477,35.78829172,14
111.9018348,22.4752086,9
