JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,3
119.268782,35.29195705,4
118.9893251,35.40548657,6
119.1934703,35.17300822,3
105.9712604,35.34351848,4
119.3599022,35.10417597,3
119.4686243,35.431049,3
119.4586262,35.43829808,13
119.5540672,35.3961023,9
119.3866344,35.28446157,7
119.5301142,35.46771125,10
119.3012309,35.39150145,10
118.6240406,33.84566739,4
117.2007828,34.24453607,8
106.9507598,27.70800021,15
115.6115866,38.62736949,5
118.7800798,35.59681379,5
120.3880917,36.30814232,5
115.6151801,38.90127817,5
106.3741305,31.87138456,1
108.4963313,30.77400589,3
112.9563338,34.92070114,2
118.8435382,35.58587212,11
118.8011232,35.52220152,4
113.8643611,36.13099864,4
115.4590891,38.53731644,3
118.9460049,35.65733871,2
118.9799089,35.92304007,4
119.2155804,35.7556971,51
119.2163458,35.74590734,9
118.9996978,35.80907805,5
119.2749927,35.61298018,6
119.4610803,35.68345171,3
119.3319313,35.86638699,3
119.1461076,35.65612567,3
119.1292477,35.78829172,4
