JD,WD,value
119.5734467,35.57720323,1
119.2860155,35.13672208,1
119.339158,35.17647178,3
105.9712604,35.34351848,11
119.4686243,35.431049,1
119.4586262,35.43829808,5
119.5540672,35.3961023,4
119.5301142,35.46771125,2
119.3012309,35.39150145,3
119.5170405,35.53091754,3
119.2738349,35.51464975,1
106.9507598,27.70800021,4
115.6115866,38.62736949,2
118.7800798,35.59681379,5
116.2005516,37.43284291,3
120.3880917,36.30814232,7
106.3741305,31.87138456,1
108.4963313,30.77400589,2
112.9563338,34.92070114,1
118.8435382,35.58587212,17
113.8643611,36.13099864,1
118.9799089,35.92304007,2
119.2155804,35.7556971,4
119.2749927,35.61298018,1
119.1056767,35.91554883,1
