JD,WD,value
116.2979565,35.41008808,103
116.5273454,30.66495721,2
119.5734467,35.57720323,344
116.7670156,30.60366922,81
119.268782,35.29195705,777
118.9893251,35.40548657,66
119.2860155,35.13672208,126
106.7371863,30.28648256,554
119.339158,35.17647178,285
119.1934703,35.17300822,332
119.3599022,35.10417597,31
105.9712604,35.34351848,52
119.4686243,35.431049,148
119.4586262,35.43829808,191
119.5540672,35.3961023,219
119.3866344,35.28446157,185
112.1380499,29.10446695,7
119.5301142,35.46771125,438
119.3012309,35.39150145,84
119.5170405,35.53091754,82
118.6240406,33.84566739,34
119.2738349,35.51464975,8
117.2007828,34.24453607,463
106.9507598,27.70800021,280
115.6115866,38.62736949,142
118.7800798,35.59681379,139
116.2005516,37.43284291,1302
120.3880917,36.30814232,1974
118.895378,35.87753653,872
115.6151801,38.90127817,218
106.3741305,31.87138456,745
118.8150764,35.8120243,58
108.4963313,30.77400589,793
112.9563338,34.92070114,52
118.8435382,35.58587212,994
118.8011232,35.52220152,26
113.8643611,36.13099864,554
118.9067767,35.58440415,769
117.1689372,28.2246819,170
118.931584,35.46998243,535
115.4590891,38.53731644,341
118.9460049,35.65733871,144
118.9721459,35.9918261,1027
118.9799089,35.92304007,80
118.7692124,35.77904003,142
119.2155804,35.7556971,1880
119.2163458,35.74590734,3018
118.9996978,35.80907805,1856
119.2749927,35.61298018,774
119.4610803,35.68345171,588
119.3319313,35.86638699,2786
119.4246591,35.73670114,529
119.3964308,35.50585644,210
119.1461076,35.65612567,20
119.1056767,35.91554883,996
119.1292477,35.78829172,703
111.9018348,22.4752086,612
