JD,WD,value
116.2979565,35.41008808,1
118.9893251,35.40548657,1
119.2860155,35.13672208,3
119.3599022,35.10417597,1
112.1380499,29.10446695,5
119.3012309,35.39150145,2
119.5170405,35.53091754,2
118.6240406,33.84566739,1
115.6115866,38.62736949,2
120.3880917,36.30814232,3
115.6151801,38.90127817,2
106.3741305,31.87138456,1
112.9563338,34.92070114,1
118.8435382,35.58587212,2
118.8011232,35.52220152,6
113.8643611,36.13099864,5
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,1
118.9721459,35.9918261,1
118.9799089,35.92304007,1
118.7692124,35.77904003,1
119.2155804,35.7556971,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.2749927,35.61298018,2
119.1461076,35.65612567,1
