岗位类型,专业类,关联度
店长,文秘类,0.4
店长,哲学、马克思主义理论类,0.4
店长,教育学类,0.4
店长,新闻传播学类,0.4
店长,历史学类,0.4
店长,档案学类,0.4
店长,法律类,0.4
后期制作,计算机与信息科学类,0.8
店长,政治学类,0.4
店长,经济管理类,0.7
店长,工商管理类,0.8
店长,社会学类,0.4
店长,财会、税务、审计与统计类,0.6
店长,环境与安全类,0.4
店长,建筑类,0.4
店长,海洋与渔业类,0.4
店长,生物类,0.4
店长,动物生产类,0.4
店长,植物生产类,0.4
店长,林业类,0.4
店长,农林业工程类,0.4
店长,水电类,0.4
店长,交通运输类,0.4
店长,艺术类,0.4
店长,公安类,0.4
店长,地质及测绘类,0.4
店长,药学类,0.4
店长,理化类,0.4
店长,轻工纺织品食品类,0.4
店长,大气科学类,0.4
店长,心理学类,0.4
店长,材料类,0.4
店长,机械与仪表类,0.4
店长,体育学类,0.4
店长,非汉语言文学类,0.4
导购员,文秘类,0.6
导购员,哲学、马克思主义理论类,0.4
导购员,教育学类,0.7
导购员,新闻传播学类,0.8
导购员,历史学类,0.4
导购员,档案学类,0.4
导购员,法律类,0.4
网页设计,计算机与信息科学类,0.9
导购员,政治学类,0.4
导购员,经济管理类,0.4
导购员,工商管理类,0.4
导购员,社会学类,0.7
导购员,财会、税务、审计与统计类,0.4
导购员,环境与安全类,0.8
导购员,建筑类,0.4
导购员,海洋与渔业类,0.4
导购员,生物类,0.4
导购员,动物生产类,0.4
导购员,植物生产类,0.4
导购员,林业类,0.4
导购员,农林业工程类,0.4
导购员,水电类,0.4
导购员,交通运输类,0.4
导购员,艺术类,0.4
导购员,公安类,0.4
导购员,地质及测绘类,0.6
导购员,药学类,0.4
导购员,理化类,0.4
导购员,轻工纺织品食品类,0.4
导购员,大气科学类,0.4
导购员,心理学类,0.6
导购员,材料类,0.6
导购员,机械与仪表类,0.4
导购员,体育学类,0.4
导购员,非汉语言文学类,0.4
客服,文秘类,0.6
客服,哲学、马克思主义理论类,0.4
客服,教育学类,0.4
客服,新闻传播学类,0.7
客服,历史学类,0.4
客服,档案学类,0.4
客服,法律类,0.4
工业设计,计算机与信息科学类,0.7
客服,政治学类,0.4
客服,经济管理类,0.4
客服,工商管理类,0.4
客服,社会学类,0.6
客服,财会、税务、审计与统计类,0.4
客服,环境与安全类,0.4
客服,建筑类,0.4
客服,海洋与渔业类,0.4
客服,生物类,0.4
客服,动物生产类,0.4
客服,植物生产类,0.4
客服,林业类,0.4
客服,农林业工程类,0.4
客服,水电类,0.4
客服,交通运输类,0.4
客服,艺术类,0.4
客服,公安类,0.4
客服,地质及测绘类,0.4
客服,药学类,0.4
客服,理化类,0.4
客服,轻工纺织品食品类,0.4
客服,大气科学类,0.4
客服,心理学类,0.4
客服,材料类,0.4
客服,机械与仪表类,0.4
客服,体育学类,0.4
客服,非汉语言文学类,0.4
物流跟单,文秘类,0.4
物流跟单,哲学、马克思主义理论类,0.4
物流跟单,教育学类,0.4
物流跟单,新闻传播学类,0.4
物流跟单,历史学类,0.4
物流跟单,档案学类,0.4
物流跟单,法律类,0.4
视觉设计,计算机与信息科学类,0.7
物流跟单,政治学类,0.4
物流跟单,经济管理类,0.7
物流跟单,工商管理类,0.6
物流跟单,社会学类,0.4
物流跟单,财会、税务、审计与统计类,0.7
物流跟单,环境与安全类,0.4
物流跟单,建筑类,0.4
物流跟单,海洋与渔业类,0.4
物流跟单,生物类,0.4
物流跟单,动物生产类,0.4
物流跟单,植物生产类,0.4
物流跟单,林业类,0.4
物流跟单,农林业工程类,0.4
物流跟单,水电类,0.4
物流跟单,交通运输类,0.4
物流跟单,艺术类,0.4
物流跟单,公安类,0.4
物流跟单,地质及测绘类,0.4
物流跟单,药学类,0.4
物流跟单,理化类,0.4
物流跟单,轻工纺织品食品类,0.4
物流跟单,大气科学类,0.4
物流跟单,心理学类,0.4
物流跟单,材料类,0.6
物流跟单,机械与仪表类,0.4
物流跟单,体育学类,0.4
物流跟单,非汉语言文学类,0.4
报检报关,文秘类,0.4
报检报关,哲学、马克思主义理论类,0.4
报检报关,教育学类,0.4
报检报关,新闻传播学类,0.4
报检报关,历史学类,0.4
报检报关,档案学类,0.4
报检报关,法律类,0.4
