年份,用电类别,行业,用电量（千瓦时）
2010,趸售,建筑业,8693237883
2010,普通工业,批发和零售业,9322935532
2010,大工业,农、林、牧、渔业,379482
2010,大工业,工业,1.74249E+11
2010,普通工业,公共服务及管理组织,10214377358
2010,居民,租赁和商务服务业,2948338
2010,农业,信息传输、软件和信息技术服务业,661828
2010,大工业,建筑业,232108643
2010,农业,批发和零售业,21828060
2010,农业,城乡居民生活用电,76479
2010,农业,交通运输、仓储和邮政业,2062749
2010,居民,房地产业,35298866
2010,农业,工业,96738293
2010,大工业,住宿和餐饮业,20025311
2010,趸售,农、林、牧、渔业,11205611791
2010,大工业,城乡居民生活用电,4287
2010,普通工业,租赁和商务服务业,1611085926
2010,居民,农、林、牧、渔业,980785
2010,居民,工业,4761627
2010,趸售,工业,1.15497E+11
2010,农业,建筑业,1764951
2010,农业,农、林、牧、渔业,8528515445
2010,居民,金融业,26990
2010,趸售,批发和零售业,46100680
2010,大工业,金融业,2370747
2010,大工业,公共服务及管理组织,364705982
2010,农业,房地产业,198112
2010,普通工业,住宿和餐饮业,3103326929
2010,普通工业,信息传输、软件和信息技术服务业,2183614209
2010,普通工业,农、林、牧、渔业,73732287
2010,普通工业,城乡居民生活用电,1436573
2010,趸售,城乡居民生活用电,683350602
2010,农业,住宿和餐饮业,1288398
2010,居民,公共服务及管理组织,986197539
2010,农业,租赁和商务服务业,2068698
2010,大工业,租赁和商务服务业,21837701
2010,普通工业,金融业,769316044
2010,农业,公共服务及管理组织,19384395
2010,普通工业,房地产业,3915192804
2010,趸售,公共服务及管理组织,30992139232
2010,居民,批发和零售业,2047424
2010,其它,工业,0
2010,大工业,房地产业,7246852
2010,普通工业,建筑业,3665314625
2010,普通工业,工业,29529819244
2010,居民,建筑业,99939
2010,居民,城乡居民生活用电,47122731575
2010,居民,信息传输、软件和信息技术服务业,120658
2010,居民,住宿和餐饮业,194917
2010,大工业,批发和零售业,247660123
2010,农业,金融业,169145
2010,普通工业,交通运输、仓储和邮政业,4095696467
2010,居民,交通运输、仓储和邮政业,40556
2010,大工业,信息传输、软件和信息技术服务业,10048345
2010,大工业,交通运输、仓储和邮政业,3289294372
2011,趸售,建筑业,8693237883
2011,普通工业,批发和零售业,9322935532
2011,大工业,农、林、牧、渔业,379482
2011,大工业,工业,1.74249E+11
2011,普通工业,公共服务及管理组织,10214377358
2011,居民,租赁和商务服务业,2948338
2011,农业,信息传输、软件和信息技术服务业,661828
2011,大工业,建筑业,232108643
2011,农业,批发和零售业,21828060
2011,农业,城乡居民生活用电,76479
2011,农业,交通运输、仓储和邮政业,2062749
2011,居民,房地产业,35298866
2011,农业,工业,96738293
2011,大工业,住宿和餐饮业,20025311
2011,趸售,农、林、牧、渔业,11205611791
2011,大工业,城乡居民生活用电,4287
2011,普通工业,租赁和商务服务业,1611085926
2011,居民,农、林、牧、渔业,980785
2011,居民,工业,4761627
2011,趸售,工业,1.15497E+11
2011,农业,建筑业,1764951
2011,农业,农、林、牧、渔业,8528515445
2011,居民,金融业,26990
2011,趸售,批发和零售业,46100680
2011,大工业,金融业,2370747
2011,大工业,公共服务及管理组织,364705982
2011,农业,房地产业,198112
2011,普通工业,住宿和餐饮业,3103326929
2011,普通工业,信息传输、软件和信息技术服务业,2183614209
2011,普通工业,农、林、牧、渔业,73732287
2011,普通工业,城乡居民生活用电,1436573
2011,趸售,城乡居民生活用电,683350602
2011,农业,住宿和餐饮业,1288398
2011,居民,公共服务及管理组织,986197539
2011,农业,租赁和商务服务业,2068698
2011,大工业,租赁和商务服务业,21837701
2011,普通工业,金融业,769316044
2011,农业,公共服务及管理组织,19384395
2011,普通工业,房地产业,3915192804
2011,趸售,公共服务及管理组织,30992139232
2011,居民,批发和零售业,2047424
2011,其它,工业,0
2011,大工业,房地产业,7246852
2011,普通工业,建筑业,3665314625
2011,普通工业,工业,29529819244
2011,居民,建筑业,99939
2011,居民,城乡居民生活用电,47122731575
2011,居民,信息传输、软件和信息技术服务业,120658
2011,居民,住宿和餐饮业,194917
2011,大工业,批发和零售业,247660123
2011,农业,金融业,169145
2011,普通工业,交通运输、仓储和邮政业,4095696467
2011,居民,交通运输、仓储和邮政业,40556
2011,大工业,信息传输、软件和信息技术服务业,10048345
2011,大工业,交通运输、仓储和邮政业,3289294372
2012,趸售,建筑业,8693237883
2012,普通工业,批发和零售业,9322935532
2012,大工业,农、林、牧、渔业,379482
2012,大工业,工业,1.74249E+11
2012,普通工业,公共服务及管理组织,10214377358
2012,居民,租赁和商务服务业,2948338
2012,农业,信息传输、软件和信息技术服务业,661828
2012,大工业,建筑业,232108643
2012,农业,批发和零售业,21828060
2012,农业,城乡居民生活用电,76479
2012,农业,交通运输、仓储和邮政业,2062749
2012,居民,房地产业,35298866
2012,农业,工业,96738293
2012,大工业,住宿和餐饮业,20025311
2012,趸售,农、林、牧、渔业,11205611791
2012,大工业,城乡居民生活用电,4287
2012,普通工业,租赁和商务服务业,1611085926
2012,居民,农、林、牧、渔业,980785
2012,居民,工业,4761627
2012,趸售,工业,1.15497E+11
2012,农业,建筑业,1764951
2012,农业,农、林、牧、渔业,8528515445
2012,居民,金融业,26990
2012,趸售,批发和零售业,46100680
2012,大工业,金融业,2370747
2012,大工业,公共服务及管理组织,364705982
2012,农业,房地产业,198112
2012,普通工业,住宿和餐饮业,3103326929
2012,普通工业,信息传输、软件和信息技术服务业,2183614209
2012,普通工业,农、林、牧、渔业,73732287
2012,普通工业,城乡居民生活用电,1436573
2012,趸售,城乡居民生活用电,683350602
2012,农业,住宿和餐饮业,1288398
2012,居民,公共服务及管理组织,986197539
2012,农业,租赁和商务服务业,2068698
2012,大工业,租赁和商务服务业,21837701
2012,普通工业,金融业,769316044
2012,农业,公共服务及管理组织,19384395
2012,普通工业,房地产业,3915192804
2012,趸售,公共服务及管理组织,30992139232
2012,居民,批发和零售业,2047424
2012,其它,工业,0
2012,大工业,房地产业,7246852
2012,普通工业,建筑业,3665314625
2012,普通工业,工业,29529819244
2012,居民,建筑业,99939
2012,居民,城乡居民生活用电,47122731575
2012,居民,信息传输、软件和信息技术服务业,120658
2012,居民,住宿和餐饮业,194917
2012,大工业,批发和零售业,247660123
2012,农业,金融业,169145
2012,普通工业,交通运输、仓储和邮政业,4095696467
2012,居民,交通运输、仓储和邮政业,40556
2012,大工业,信息传输、软件和信息技术服务业,10048345
2012,大工业,交通运输、仓储和邮政业,3289294372
2013,趸售,建筑业,8693237883
2013,普通工业,批发和零售业,9322935532
2013,大工业,农、林、牧、渔业,379482
2013,大工业,工业,1.74249E+11
2013,普通工业,公共服务及管理组织,10214377358
2013,居民,租赁和商务服务业,2948338
2013,农业,信息传输、软件和信息技术服务业,661828
2013,大工业,建筑业,232108643
2013,农业,批发和零售业,21828060
2013,农业,城乡居民生活用电,76479
2013,农业,交通运输、仓储和邮政业,2062749
2013,居民,房地产业,35298866
2013,农业,工业,96738293
2013,大工业,住宿和餐饮业,20025311
2013,趸售,农、林、牧、渔业,11205611791
2013,大工业,城乡居民生活用电,4287
2013,普通工业,租赁和商务服务业,1611085926
2013,居民,农、林、牧、渔业,980785
2013,居民,工业,4761627
2013,趸售,工业,1.15497E+11
2013,农业,建筑业,1764951
2013,农业,农、林、牧、渔业,8528515445
2013,居民,金融业,26990
2013,趸售,批发和零售业,46100680
2013,大工业,金融业,2370747
2013,大工业,公共服务及管理组织,364705982
2013,农业,房地产业,198112
2013,普通工业,住宿和餐饮业,3103326929
2013,普通工业,信息传输、软件和信息技术服务业,2183614209
2013,普通工业,农、林、牧、渔业,73732287
2013,普通工业,城乡居民生活用电,1436573
2013,趸售,城乡居民生活用电,683350602
2013,农业,住宿和餐饮业,1288398
2013,居民,公共服务及管理组织,986197539
2013,农业,租赁和商务服务业,2068698
2013,大工业,租赁和商务服务业,21837701
2013,普通工业,金融业,769316044
2013,农业,公共服务及管理组织,19384395
2013,普通工业,房地产业,3915192804
2013,趸售,公共服务及管理组织,30992139232
2013,居民,批发和零售业,2047424
2013,其它,工业,0
2013,大工业,房地产业,7246852
2013,普通工业,建筑业,3665314625
2013,普通工业,工业,29529819244
2013,居民,建筑业,99939
2013,居民,城乡居民生活用电,47122731575
2013,居民,信息传输、软件和信息技术服务业,120658
2013,居民,住宿和餐饮业,194917
2013,大工业,批发和零售业,247660123
2013,农业,金融业,169145
2013,普通工业,交通运输、仓储和邮政业,4095696467
2013,居民,交通运输、仓储和邮政业,40556
2013,大工业,信息传输、软件和信息技术服务业,10048345
2013,大工业,交通运输、仓储和邮政业,3289294372
2014,趸售,建筑业,8693237883
2014,普通工业,批发和零售业,9322935532
2014,大工业,农、林、牧、渔业,379482
2014,大工业,工业,1.74249E+11
2014,普通工业,公共服务及管理组织,10214377358
2014,居民,租赁和商务服务业,2948338
2014,农业,信息传输、软件和信息技术服务业,661828
2014,大工业,建筑业,232108643
2014,农业,批发和零售业,21828060
2014,农业,城乡居民生活用电,76479
2014,农业,交通运输、仓储和邮政业,2062749
2014,居民,房地产业,35298866
2014,农业,工业,96738293
2014,大工业,住宿和餐饮业,20025311
2014,趸售,农、林、牧、渔业,11205611791
2014,大工业,城乡居民生活用电,4287
2014,普通工业,租赁和商务服务业,1611085926
2014,居民,农、林、牧、渔业,980785
2014,居民,工业,4761627
2014,趸售,工业,1.15497E+11
2014,农业,建筑业,1764951
2014,农业,农、林、牧、渔业,8528515445
2014,居民,金融业,26990
