城市,经度,纬度,经度_y,纬度_y,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,NO2,CO,O3,年,月
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2013年12月,195,79~395,中度污染,149,259,127.0,82.0,1.653,33.0,2013,12
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年1月,184,61~489,中度污染,138,247,117.0,67.0,1.9,45.0,2014,1
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年2月,152,60~289,中度污染,115,190,123.0,62.0,1.879,56.0,2014,2
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年3月,135,76~309,轻度污染,88,197,75.0,58.0,1.11,100.0,2014,3
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年4月,137,61~229,轻度污染,91,190,70.0,51.0,1.073,122.0,2014,4
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年5月,119,55~177,轻度污染,66,171,47.0,42.0,0.816,162.0,2014,5
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年6月,126,65~195,轻度污染,76,135,48.0,41.0,1.037,175.0,2014,6
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年7月,117,63~190,轻度污染,71,125,37.0,40.0,0.9,164.0,2014,7
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年8月,114,71~157,轻度污染,72,134,49.0,48.0,1.055,161.0,2014,8
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年9月,114,57~231,轻度污染,80,145,46.0,52.0,1.213,125.0,2014,9
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年10月,116,63~202,轻度污染,81,167,48.0,59.0,1.039,107.0,2014,10
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年11月,139,66~368,轻度污染,101,188,67.0,65.0,1.24,48.0,2014,11
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2014年12月,123,62~229,轻度污染,84,180,97.0,66.0,1.3,39.0,2014,12
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年1月,153,60~322,中度污染,113,210,92.0,73.0,1.952,37.0,2015,1
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年2月,131,61~238,轻度污染,95,172,79.0,53.0,1.607,62.0,2015,2
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年3月,124,63~190,轻度污染,81,185,63.0,55.0,1.333,85.0,2015,3
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年4月,115,59~215,轻度污染,77,158,39.0,43.0,1.197,114.0,2015,4
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年5月,113,53~182,轻度污染,74,155,37.0,41.0,1.213,143.0,2015,5
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年6月,117,68~186,轻度污染,73,139,27.0,33.0,1.063,168.0,2015,6
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年7月,123,74~182,轻度污染,75,133,28.0,38.0,1.032,168.0,2015,7
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年8月,92,39~140,良,57,98,22.0,39.0,0.939,141.0,2015,8
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年9月,99,50~158,良,69,128,27.0,52.0,1.133,125.0,2015,9
