年份,产业,value
2010,第二产业,0.6260887688374291
2010,第三产业,0.42282096626751164
2011,第二产业,0.6147997705358745
2011,第三产业,0.4446671221476654
2012,第二产业,0.599100129873123
2012,第三产业,0.4654809623786964
2013,第二产业,0.5792133926068866
2013,第三产业,0.4756478758913686
2014,第二产业,0.4658669261129536
2014,第三产业,0.438469476984646
2015,第二产业,0.4501472269248021
2015,第三产业,0.45741452156675494
2016,第二产业,0.4357438842799405
2016,第三产业,0.4779357583492875
2017,第二产业,0.4278035488422065
2017,第三产业,0.49102791368641896
2018,第二产业,0.4146790119566865
2018,第三产业,0.5061898996082457
2019,第二产业,0.4010164373657686
2019,第三产业,0.5213402229924653
