年份,能源类别,产业类别,value
2010,煤炭消费量(万吨),第二产业,0.5262327000999842
2010,煤炭消费量(万吨),第三产业,0.5262327000999841
2010,焦炭消费量(万吨),第二产业,0.34960145434205003
2010,焦炭消费量(万吨),第三产业,0.3496014543420501
2010,原油消费量(万吨),第二产业,0.33110390040394677
2010,原油消费量(万吨),第三产业,0.33110390040394677
2010,汽油消费量(万吨),第二产业,0.34186865406310896
2010,汽油消费量(万吨),第三产业,0.34186865406310896
2010,煤油消费量(万吨),第二产业,0.331356241094801
2010,煤油消费量(万吨),第三产业,0.33135624109480105
2010,柴油消费量(万吨),第二产业,0.32300784909073293
2010,柴油消费量(万吨),第三产业,0.32300784909073293
2010,燃料油消费量(万吨),第二产业,0.315407664406245
2010,燃料油消费量(万吨),第三产业,0.31540766440624507
2010,天然气消费量(亿立方米),第二产业,0.046249190639163815
2010,天然气消费量(亿立方米),第三产业,0.046249190639163815
2011,煤炭消费量(万吨),第二产业,0.5262327000999842
2011,煤炭消费量(万吨),第三产业,0.5262327000999841
2011,焦炭消费量(万吨),第二产业,0.3496014543420501
2011,焦炭消费量(万吨),第三产业,0.34960145434205003
2011,原油消费量(万吨),第二产业,0.33110390040394677
2011,原油消费量(万吨),第三产业,0.3311039004039467
2011,汽油消费量(万吨),第二产业,0.34186865406310896
2011,汽油消费量(万吨),第三产业,0.34186865406310896
2011,煤油消费量(万吨),第二产业,0.331356241094801
2011,煤油消费量(万吨),第三产业,0.33135624109480105
2011,柴油消费量(万吨),第二产业,0.32300784909073293
2011,柴油消费量(万吨),第三产业,0.32300784909073293
2011,燃料油消费量(万吨),第二产业,0.31540766440624507
2011,燃料油消费量(万吨),第三产业,0.31540766440624507
2011,天然气消费量(亿立方米),第二产业,0.046249190639163815
2011,天然气消费量(亿立方米),第三产业,0.046249190639163815
2012,煤炭消费量(万吨),第二产业,0.5262327000999842
2012,煤炭消费量(万吨),第三产业,0.5262327000999842
2012,焦炭消费量(万吨),第二产业,0.3496014543420501
2012,焦炭消费量(万吨),第三产业,0.3496014543420501
2012,原油消费量(万吨),第二产业,0.3311039004039467
2012,原油消费量(万吨),第三产业,0.3311039004039467
2012,汽油消费量(万吨),第二产业,0.34186865406310896
2012,汽油消费量(万吨),第三产业,0.34186865406310896
2012,煤油消费量(万吨),第二产业,0.331356241094801
2012,煤油消费量(万吨),第三产业,0.33135624109480105
2012,柴油消费量(万吨),第二产业,0.32300784909073293
2012,柴油消费量(万吨),第三产业,0.32300784909073293
2012,燃料油消费量(万吨),第二产业,0.31540766440624507
2012,燃料油消费量(万吨),第三产业,0.31540766440624507
2012,天然气消费量(亿立方米),第二产业,0.046249190639163815
2012,天然气消费量(亿立方米),第三产业,0.046249190639163815
2013,煤炭消费量(万吨),第二产业,0.5262327000999841
2013,煤炭消费量(万吨),第三产业,0.5262327000999842
2013,焦炭消费量(万吨),第二产业,0.34960145434205003
2013,焦炭消费量(万吨),第三产业,0.3496014543420501
2013,原油消费量(万吨),第二产业,0.33110390040394677
2013,原油消费量(万吨),第三产业,0.33110390040394677
2013,汽油消费量(万吨),第二产业,0.3418686540631089
2013,汽油消费量(万吨),第三产业,0.34186865406310896
2013,煤油消费量(万吨),第二产业,0.331356241094801
2013,煤油消费量(万吨),第三产业,0.331356241094801
2013,柴油消费量(万吨),第二产业,0.32300784909073293
2013,柴油消费量(万吨),第三产业,0.32300784909073293
2013,燃料油消费量(万吨),第二产业,0.31540766440624507
2013,燃料油消费量(万吨),第三产业,0.31540766440624507
2013,天然气消费量(亿立方米),第二产业,0.046249190639163815
2013,天然气消费量(亿立方米),第三产业,0.046249190639163815
2014,煤炭消费量(万吨),第二产业,0.5262327000999841
2014,煤炭消费量(万吨),第三产业,0.5262327000999841
2014,焦炭消费量(万吨),第二产业,0.3496014543420501
2014,焦炭消费量(万吨),第三产业,0.3496014543420501
2014,原油消费量(万吨),第二产业,0.33110390040394677
2014,原油消费量(万吨),第三产业,0.33110390040394677
2014,汽油消费量(万吨),第二产业,0.34186865406310896
2014,汽油消费量(万吨),第三产业,0.34186865406310896
2014,煤油消费量(万吨),第二产业,0.331356241094801
2014,煤油消费量(万吨),第三产业,0.33135624109480105
2014,柴油消费量(万吨),第二产业,0.32300784909073293
2014,柴油消费量(万吨),第三产业,0.32300784909073293
2014,燃料油消费量(万吨),第二产业,0.31540766440624507
2014,燃料油消费量(万吨),第三产业,0.31540766440624507
2014,天然气消费量(亿立方米),第二产业,0.04624919063916382
2014,天然气消费量(亿立方米),第三产业,0.046249190639163815
2015,煤炭消费量(万吨),第二产业,0.5262327000999841
2015,煤炭消费量(万吨),第三产业,0.5262327000999842
2015,焦炭消费量(万吨),第二产业,0.3496014543420501
2015,焦炭消费量(万吨),第三产业,0.34960145434205003
2015,原油消费量(万吨),第二产业,0.33110390040394677
2015,原油消费量(万吨),第三产业,0.33110390040394677
2015,汽油消费量(万吨),第二产业,0.34186865406310896
