年份,能源类别,产业类别,value
2010,煤炭消费量(万吨),第二产业,0.9999999991527363
2010,煤炭消费量(万吨),第三产业,1.0000000135026628
2010,焦炭消费量(万吨),第二产业,0.9999999952346972
2010,焦炭消费量(万吨),第三产业,1.0000002142123923
2010,原油消费量(万吨),第二产业,0.9999999933553909
2010,原油消费量(万吨),第三产业,1.0000000359003514
2010,汽油消费量(万吨),第二产业,1.0000000137266758
2010,汽油消费量(万吨),第三产业,1.0000006792608471
2010,煤油消费量(万吨),第二产业,1.0000012232103526
2010,煤油消费量(万吨),第三产业,0.9999875385118254
2010,柴油消费量(万吨),第二产业,0.9999999937280522
2010,柴油消费量(万吨),第三产业,0.9999998767439704
2010,燃料油消费量(万吨),第二产业,1.0000000337245156
2010,燃料油消费量(万吨),第三产业,0.9999998499386462
2010,天然气消费量(亿立方米),第二产业,1.0000003786176406
2010,天然气消费量(亿立方米),第三产业,1.0000037302243332
2011,煤炭消费量(万吨),第二产业,1.0000000010628978
2011,煤炭消费量(万吨),第三产业,0.9999999917624715
2011,焦炭消费量(万吨),第二产业,1.000000001429664
2011,焦炭消费量(万吨),第三产业,1.0000002398195018
2011,原油消费量(万吨),第二产业,0.9999999949717734
2011,原油消费量(万吨),第三产业,0.9999998953091415
2011,汽油消费量(万吨),第二产业,0.9999999429877725
2011,汽油消费量(万吨),第三产业,0.9999998723284125
2011,煤油消费量(万吨),第二产业,0.999999173448906
2011,煤油消费量(万吨),第三产业,1.0000040254559424
2011,柴油消费量(万吨),第二产业,1.0000000134872842
2011,柴油消费量(万吨),第三产业,0.9999997321145212
2011,燃料油消费量(万吨),第二产业,1.0000000411340035
2011,燃料油消费量(万吨),第三产业,0.9999999290228767
2011,天然气消费量(亿立方米),第二产业,1.000000881276005
2011,天然气消费量(亿立方米),第三产业,0.9999985733792622
2012,煤炭消费量(万吨),第二产业,0.9999999992315051
2012,煤炭消费量(万吨),第三产业,1.0000000194975656
2012,焦炭消费量(万吨),第二产业,0.9999999998789476
2012,焦炭消费量(万吨),第三产业,1.0000000110037066
2012,原油消费量(万吨),第二产业,1.0000000019514843
2012,原油消费量(万吨),第三产业,0.9999999041545954
2012,汽油消费量(万吨),第二产业,1.0000000227983599
2012,汽油消费量(万吨),第三产业,0.9999989628354601
2012,煤油消费量(万吨),第二产业,1.0000003833660807
2012,煤油消费量(万吨),第三产业,1.000000637210743
2012,柴油消费量(万吨),第二产业,1.0000000294472926
2012,柴油消费量(万吨),第三产业,1.0000000417145116
2012,燃料油消费量(万吨),第二产业,0.9999999958642489
2012,燃料油消费量(万吨),第三产业,1.0000005195409443
2012,天然气消费量(亿立方米),第二产业,0.9999999165272082
2012,天然气消费量(亿立方米),第三产业,0.9999967221511304
2013,煤炭消费量(万吨),第二产业,1.0000000007674923
2013,煤炭消费量(万吨),第三产业,1.000000015642237
2013,焦炭消费量(万吨),第二产业,1.0000000117974595
2013,焦炭消费量(万吨),第三产业,0.9999999589441745
2013,原油消费量(万吨),第二产业,1.000000008059038
2013,原油消费量(万吨),第三产业,0.9999999187945311
2013,汽油消费量(万吨),第二产业,0.9999999435890338
2013,汽油消费量(万吨),第三产业,0.9999998771056109
2013,煤油消费量(万吨),第二产业,1.0000001943249386
2013,煤油消费量(万吨),第三产业,1.0000093755977868
2013,柴油消费量(万吨),第二产业,0.9999999847762076
2013,柴油消费量(万吨),第三产业,1.0000005437995565
2013,燃料油消费量(万吨),第二产业,1.0000000249677192
2013,燃料油消费量(万吨),第三产业,0.9999999801471253
2013,天然气消费量(亿立方米),第二产业,0.9999999148706931
2013,天然气消费量(亿立方米),第三产业,0.9999956508521692
2014,煤炭消费量(万吨),第二产业,1.0000000015926989
2014,煤炭消费量(万吨),第三产业,0.9999999825315314
2014,焦炭消费量(万吨),第二产业,0.9999999967883926
2014,焦炭消费量(万吨),第三产业,1.0000001620895995
2014,原油消费量(万吨),第二产业,0.9999999922318952
2014,原油消费量(万吨),第三产业,1.0000000073764732
2014,汽油消费量(万吨),第二产业,0.9999999691755472
2014,汽油消费量(万吨),第三产业,0.9999997720207832
2014,煤油消费量(万吨),第二产业,1.0000003351701792
2014,煤油消费量(万吨),第三产业,1.0000080607889008
2014,柴油消费量(万吨),第二产业,1.000000006717121
2014,柴油消费量(万吨),第三产业,1.0000002864725288
2014,燃料油消费量(万吨),第二产业,0.9999999835769405
2014,燃料油消费量(万吨),第三产业,0.9999999080744163
2014,天然气消费量(亿立方米),第二产业,1.000000225210163
2014,天然气消费量(亿立方米),第三产业,0.9999993919044721
2015,煤炭消费量(万吨),第二产业,1.000000001609848
2015,煤炭消费量(万吨),第三产业,0.9999999864617909
2015,焦炭消费量(万吨),第二产业,1.0000000024262767
2015,焦炭消费量(万吨),第三产业,0.9999998673324879
2015,原油消费量(万吨),第二产业,1.0000000022520736
2015,原油消费量(万吨),第三产业,0.9999999260113339
2015,汽油消费量(万吨),第二产业,0.9999999421667634
2015,汽油消费量(万吨),第三产业,0.9999997982200232
2015,煤油消费量(万吨),第二产业,1.0000005153579752
2015,煤油消费量(万吨),第三产业,1.0000036282262743
2015,柴油消费量(万吨),第二产业,1.000000050182384
2015,柴油消费量(万吨),第三产业,0.9999997731196771
2015,燃料油消费量(万吨),第二产业,1.0000000183010367
2015,燃料油消费量(万吨),第三产业,0.999999905083603
2015,天然气消费量(亿立方米),第二产业,0.9999991365841028
2015,天然气消费量(亿立方米),第三产业,1.0000044659178884
2016,煤炭消费量(万吨),第二产业,1.0000000011044827
2016,煤炭消费量(万吨),第三产业,1.0000000037481875
2016,焦炭消费量(万吨),第二产业,0.999999996149125
2016,焦炭消费量(万吨),第三产业,0.9999999185773213
2016,原油消费量(万吨),第二产业,0.9999999908901067
