岗位类型,性别,关联度
店长,男,0.5
店长,女,0.7
导购员,男,0.4
导购员,女,0.7
客服,男,0.4
客服,女,0.9
物流跟单,男,0.8
物流跟单,女,0.4
报检报关,男,0.5
报检报关,女,0.5
仓储管理,男,0.5
仓储管理,女,0.5
英语老师,男,0.4
英语老师,女,0.6
课程顾问,男,0.3
课程顾问,女,0.7
教务,男,0.5
教务,女,0.5
助教,男,0.5
助教,女,0.5
编导,男,0.5
编导,女,0.5
编剧,男,0.5
编剧,女,0.5
后期制作,男,0.5
后期制作,女,0.5
化妆师,男,0.4
化妆师,女,0.6
广告创意,男,0.5
广告创意,女,0.5
美术指导,男,0.5
美术指导,女,0.5
文案,男,0.5
文案,女,0.5
媒介,男,0.5
媒介,女,0.5
网页设计,男,0.4
网页设计,女,0.6
插画师,男,0.5
插画师,女,0.5
工业设计,男,0.5
工业设计,女,0.5
视觉设计,男,0.4
视觉设计,女,0.6
教师,男,0.5
教师,女,0.5
英语,男,0.5
英语,女,0.5
美术老师,男,0.5
美术老师,女,0.5
幼教,男,0.5
幼教,女,0.5
小学教师,男,0.5
小学教师,女,0.5
班主任,男,0.5
班主任,女,0.5
摄影师,男,0.5
摄影师,女,0.5
摄影,男,0.5
摄影,女,0.5
制片,男,0.5
制片,女,0.5
记者,男,0.5
记者,女,0.5
剪辑,男,0.5
剪辑,女,0.5
策划经理,男,0.5
策划经理,女,0.5
广告制作,男,0.5
广告制作,女,0.5
广告审核,男,0.5
广告审核,女,0.5
平面设计,男,0.5
平面设计,女,0.5
美容师,男,0.5
美容师,女,0.5
医美,男,0.5
医美,女,0.5
导游,男,0.3
导游,女,0.7
旅游计调,男,0.5
旅游计调,女,0.5
旅游销售,男,0.5
旅游销售,女,0.5
收银员,男,0.3
收银员,女,0.7
收银,男,0.4
收银,女,0.6
家政,男,0.3
家政,女,0.7
美容导师,男,0.5
美容导师,女,0.5
健身教练,男,0.7
健身教练,女,0.3
旅游顾问,男,0.5
旅游顾问,女,0.5
签证,男,0.5
签证,女,0.5
票务,男,0.5
票务,女,0.5
服务业,男,0.5
服务业,女,0.5
酒店前台,男,0.4
酒店前台,女,0.6
酒店管理,男,0.6
酒店管理,女,0.4
餐饮管理,男,0.4
餐饮管理,女,0.6
保安,男,0.9
保安,女,0.1
保洁,男,0.2
保洁,女,0.8
司机,男,0.9
司机,女,0.1
市场策划,男,0.5
市场策划,女,0.5
市场顾问,男,0.5
市场顾问,女,0.5
市场推广,男,0.5
市场推广,女,0.5
sem,男,0.5
sem,女,0.5
网络营销,男,0.5
网络营销,女,0.5
活动策划,男,0.5
活动策划,女,0.5
销售经理,男,0.5
销售经理,女,0.5
销售代表,男,0.5
销售代表,女,0.5
大客户销售,男,0.5
大客户销售,女,0.5
电话销售,男,0.3
电话销售,女,0.7
商品经理,男,0.5
商品经理,女,0.5
广告销售,男,0.5
广告销售,女,0.5
销售总监,男,0.5
销售总监,女,0.5
市场营销,男,0.5
市场营销,女,0.5
市场总监,男,0.5
市场总监,女,0.5
seo,男,0.5
seo,女,0.5
品牌经理,男,0.5
品牌经理,女,0.5
商务渠道,男,0.5
商务渠道,女,0.5
销售专员,男,0.5
销售专员,女,0.5
客户代表,男,0.5
客户代表,女,0.5
bd经理,男,0.5
bd经理,女,0.5
渠道销售,男,0.5
渠道销售,女,0.5
销售助理,男,0.5
销售助理,女,0.5
销售顾问,男,0.5
销售顾问,女,0.5
营销主管,男,0.5
营销主管,女,0.5
商务总监,男,0.5
商务总监,女,0.5
城市经理,男,0.5
城市经理,女,0.5
招聘,男,0.3
招聘,女,0.7
人力资源专员,男,0.3
人力资源专员,女,0.7
人力资源经理,男,0.5
人力资源经理,女,0.5
员工关系,男,0.5
员工关系,女,0.5
出纳,男,0.5
出纳,女,0.5
税务,男,0.5
税务,女,0.5
财务分析,男,0.5
财务分析,女,0.5
法务专员,男,0.5
法务专员,女,0.5
法律顾问,男,0.5
法律顾问,女,0.5
法务主管,男,0.5
法务主管,女,0.5
前台,男,0.5
前台,女,0.5
经理助理,男,0.5
经理助理,女,0.5
行政经理,男,0.5
行政经理,女,0.5
行政总监,男,0.5
行政总监,女,0.5
人力资源主管,男,0.5
人力资源主管,女,0.5
hrbp,男,0.3
hrbp,女,0.7
培训,男,0.5
培训,女,0.5
薪资福利,男,0.5
薪资福利,女,0.5
人力资源总监,男,0.5
人力资源总监,女,0.5
会计,男,0.5
会计,女,0.5
财务顾问,男,0.3
财务顾问,女,0.7
结算,男,0.5
结算,女,0.5
风控,男,0.5
风控,女,0.5
财务主管,男,0.5
财务主管,女,0.5
律师,男,0.5
律师,女,0.5
物流运营,男,0.5
物流运营,女,0.5
绩效考核,男,0.5
绩效考核,女,0.5
组织发展,男,0.5
组织发展,女,0.5
理货员,男,0.5
理货员,女,0.5
育婴师,男,0.5
育婴师,女,0.5
财务经理,男,0.5
财务经理,女,0.5
美甲师,男,0.3
美甲师,女,0.7
月嫂,男,0.5
月嫂,女,0.5
催乳师,男,0.5
催乳师,女,0.5
保姆,男,0.1
保姆,女,0.9
纹绣师,男,0.5
纹绣师,女,0.5
app推广,男,0.5
app推广,女,0.5
物仓调度,男,0.5
物仓调度,女,0.5
婚礼策划,男,0.5
婚礼策划,女,0.5
