name1,name2,value
大专,上海,6913.8028548343655
大专,青浦区,6592.147806004619
大专,杨浦区,7139.381720430108
大专,徐汇区,7159.795221843004
大专,浦东新区,6871.153146598763
大专,长宁区,6684.683684794672
大专,黄浦区,7279.276315789473
大专,普陀区,6570.127118644068
大专,闵行区,6938.025974025974
大专,松江区,6763.467492260062
大专,虹口区,7039.837398373984
大专,宝山区,6895.406360424028
大专,嘉定区,6738.166894664842
大专,静安区,7107.686274509804
大专,崇明区,4735.294117647059
大专,金山区,6255.555555555556
大专,奉贤区,6801.796407185629
学历不限,上海,6589.049496276829
学历不限,青浦区,6329.508196721312
学历不限,杨浦区,6477.290836653387
学历不限,徐汇区,5816.150081566068
学历不限,浦东新区,6385.362173038229
学历不限,长宁区,6123.755656108598
学历不限,黄浦区,5718.777292576419
学历不限,普陀区,6063.409563409564
学历不限,闵行区,6158.6138613861385
学历不限,松江区,6053.869047619048
学历不限,虹口区,6069.097222222223
学历不限,宝山区,6085.504201680672
学历不限,嘉定区,6143.383947939263
学历不限,静安区,6329.595588235294
学历不限,崇明区,5800.0
学历不限,金山区,5883.720930232558
学历不限,奉贤区,5820.325203252032
本科,上海,7969.200919804542
本科,青浦区,7000.502512562814
本科,杨浦区,6880.030487804878
本科,徐汇区,7792.899408284024
本科,浦东新区,7478.262295081967
本科,长宁区,7323.250296559905
本科,黄浦区,8239.632545931758
本科,普陀区,7005.830903790087
本科,闵行区,7223.75366568915
本科,松江区,7815.812917594655
本科,虹口区,7542.680776014109
本科,宝山区,7590.2040816326535
本科,嘉定区,8345.522388059702
本科,静安区,7655.203619909502
本科,崇明区,6823.529411764706
本科,金山区,7872.519083969466
本科,奉贤区,7877.238805970149
高中,上海,6386.984815618222
高中,青浦区,6172.5
高中,杨浦区,6140.789473684211
高中,徐汇区,6747.107438016529
高中,浦东新区,6122.527472527472
高中,长宁区,6234.210526315789
高中,黄浦区,6029.508196721312
高中,普陀区,5814.942528735633
高中,闵行区,6146.666666666667
高中,松江区,6211.267605633803
高中,虹口区,6205.405405405405
高中,宝山区,7502.298850574713
高中,嘉定区,6831.09243697479
高中,静安区,6183.739837398374
高中,崇明区,7833.333333333333
高中,金山区,6307.692307692308
高中,奉贤区,5436.0
中专/中技,上海,6231.22866894198
中专/中技,青浦区,6366.666666666667
中专/中技,杨浦区,5678.571428571428
中专/中技,徐汇区,5492.857142857143
中专/中技,浦东新区,6104.733727810651
中专/中技,长宁区,5620.0
中专/中技,黄浦区,5370.212765957447
中专/中技,普陀区,5952.747252747253
中专/中技,闵行区,6392.38578680203
中专/中技,松江区,5367.213114754099
中专/中技,虹口区,5561.538461538462
中专/中技,宝山区,6368.75
中专/中技,嘉定区,6654.736842105263
中专/中技,静安区,6235.761589403974
中专/中技,崇明区,4000.0
中专/中技,金山区,5437.5
中专/中技,奉贤区,5352.941176470588
初中及以下,上海,5622.448979591837
初中及以下,青浦区,6000.0
初中及以下,杨浦区,5444.444444444444
初中及以下,徐汇区,5266.666666666667
初中及以下,浦东新区,5741.379310344828
初中及以下,长宁区,5119.047619047619
初中及以下,黄浦区,5666.666666666667
初中及以下,普陀区,5623.076923076923
初中及以下,闵行区,5828.070175438596
初中及以下,松江区,5944.444444444444
初中及以下,虹口区,6000.0
初中及以下,宝山区,5631.578947368421
初中及以下,嘉定区,6025.0
初中及以下,静安区,4857.142857142857
初中及以下,崇明区,4000.0
初中及以下,金山区,6285.714285714285
初中及以下,奉贤区,6666.666666666667
硕士,上海,9073.076923076924
硕士,青浦区,7766.666666666667
硕士,杨浦区,7185.714285714285
硕士,徐汇区,5780.0
硕士,浦东新区,10357.471264367816
硕士,长宁区,7168.75
硕士,黄浦区,7134.782608695652
硕士,普陀区,8828.57142857143
硕士,闵行区,6368.0
硕士,松江区,7562.5
硕士,虹口区,11321.42857142857
硕士,宝山区,500.0
硕士,嘉定区,8000.0
硕士,静安区,8552.173913043478
硕士,崇明区,0.0
硕士,金山区,0.0
硕士,奉贤区,6000.0
MBA/EMBA,上海,45000.0
MBA/EMBA,青浦区,0.0
MBA/EMBA,杨浦区,0.0
MBA/EMBA,徐汇区,0.0
MBA/EMBA,浦东新区,0.0
MBA/EMBA,长宁区,0.0
MBA/EMBA,黄浦区,0.0
MBA/EMBA,普陀区,0.0
MBA/EMBA,闵行区,0.0
MBA/EMBA,松江区,30000.0
MBA/EMBA,虹口区,0.0
MBA/EMBA,宝山区,0.0
MBA/EMBA,嘉定区,0.0
MBA/EMBA,静安区,30000.0
MBA/EMBA,崇明区,0.0
MBA/EMBA,金山区,0.0
MBA/EMBA,奉贤区,0.0
博士,上海,500.0
博士,青浦区,0.0
博士,杨浦区,0.0
博士,徐汇区,0.0
博士,浦东新区,500.0
博士,长宁区,0.0
博士,黄浦区,0.0
博士,普陀区,0.0
博士,闵行区,0.0
博士,松江区,0.0
博士,虹口区,0.0
博士,宝山区,0.0
博士,嘉定区,0.0
博士,静安区,9500.0
博士,崇明区,0.0
博士,金山区,0.0
博士,奉贤区,0.0
中技,上海,0.0
中技,青浦区,0.0
中技,杨浦区,0.0
中技,徐汇区,8000.0
中技,浦东新区,0.0
中技,长宁区,20000.0
中技,黄浦区,0.0
中技,普陀区,0.0
中技,闵行区,0.0
中技,松江区,0.0
中技,虹口区,0.0
中技,宝山区,0.0
中技,嘉定区,0.0
中技,静安区,0.0
中技,崇明区,0.0
中技,金山区,0.0
中技,奉贤区,0.0
