name1,name2,value
店长,上海,7026.7441860465115
店长,青浦区,6360.0
店长,杨浦区,7510.526315789473
店长,徐汇区,6573.75
店长,浦东新区,6691.836734693878
店长,长宁区,6756.338028169014
店长,黄浦区,7118.518518518518
店长,普陀区,6380.701754385965
店长,闵行区,6874.789915966387
店长,松江区,6522.727272727273
店长,虹口区,6373.076923076923
店长,宝山区,8915.555555555555
店长,嘉定区,6802.083333333333
店长,静安区,6924.175824175824
店长,崇明区,6500.0
店长,金山区,7600.0
店长,奉贤区,5250.0
导购员,上海,5373.333333333333
导购员,青浦区,5470.588235294118
导购员,杨浦区,5697.530864197531
导购员,徐汇区,5528.985507246377
导购员,浦东新区,5352.331606217616
导购员,长宁区,5147.540983606557
导购员,黄浦区,5445.3488372093025
导购员,普陀区,5413.461538461538
导购员,闵行区,5453.6
导购员,松江区,4894.736842105263
导购员,虹口区,5000.0
导购员,宝山区,5585.714285714285
导购员,嘉定区,5434.782608695652
导购员,静安区,5377.659574468085
导购员,崇明区,4000.0
导购员,金山区,5250.0
导购员,奉贤区,5666.666666666667
客服,上海,6561.231884057971
客服,青浦区,5312.5
客服,杨浦区,7000.0
客服,徐汇区,5735.0
客服,浦东新区,7012.8712871287125
客服,长宁区,6869.565217391304
客服,黄浦区,5600.0
客服,普陀区,6027.777777777777
客服,闵行区,6193.877551020408
客服,松江区,5421.0526315789475
客服,虹口区,6352.941176470588
客服,宝山区,6705.882352941177
客服,嘉定区,5300.0
客服,静安区,6359.523809523809
客服,崇明区,0.0
客服,金山区,5000.0
客服,奉贤区,4666.666666666667
理货员,上海,7115.789473684211
理货员,青浦区,6571.428571428572
理货员,杨浦区,6380.0
理货员,徐汇区,5822.222222222223
理货员,浦东新区,5973.509933774834
理货员,长宁区,6000.0
理货员,黄浦区,6228.571428571428
理货员,普陀区,6266.666666666667
理货员,闵行区,6300.653594771242
理货员,松江区,5969.69696969697
理货员,虹口区,5782.608695652174
理货员,宝山区,5980.392156862745
理货员,嘉定区,6164.179104477612
理货员,静安区,5666.666666666667
理货员,崇明区,4500.0
理货员,金山区,6000.0
理货员,奉贤区,6333.333333333333
物流运营,上海,4225.0
物流运营,青浦区,8227.272727272728
物流运营,杨浦区,500.0
物流运营,徐汇区,0.0
物流运营,浦东新区,500.0
物流运营,长宁区,500.0
物流运营,黄浦区,0.0
物流运营,普陀区,0.0
物流运营,闵行区,15166.666666666666
物流运营,松江区,5500.0
物流运营,虹口区,500.0
物流运营,宝山区,7000.0
物流运营,嘉定区,10000.0
物流运营,静安区,8000.0
物流运营,崇明区,0.0
物流运营,金山区,200.0
物流运营,奉贤区,9000.0
物流跟单,上海,5856.25
物流跟单,青浦区,5666.666666666667
物流跟单,杨浦区,7000.0
物流跟单,徐汇区,5000.0
物流跟单,浦东新区,5250.0
物流跟单,长宁区,6000.0
物流跟单,黄浦区,0.0
物流跟单,普陀区,5333.333333333333
物流跟单,闵行区,5222.222222222223
物流跟单,松江区,5000.0
物流跟单,虹口区,6500.0
物流跟单,宝山区,6000.0
物流跟单,嘉定区,5800.0
物流跟单,静安区,4000.0
物流跟单,崇明区,0.0
物流跟单,金山区,8000.0
物流跟单,奉贤区,3000.0
报检报关,上海,6133.333333333333
报检报关,青浦区,5500.0
报检报关,杨浦区,5200.0
报检报关,徐汇区,4000.0
报检报关,浦东新区,5736.363636363636
报检报关,长宁区,0.0
报检报关,黄浦区,6000.0
报检报关,普陀区,4000.0
报检报关,闵行区,4250.0
报检报关,松江区,6000.0
报检报关,虹口区,5500.0
报检报关,宝山区,0.0
报检报关,嘉定区,6000.0
报检报关,静安区,7000.0
